Summer 2002,,Undergraduate,,,,,Masters,,,PhD,,,Professional,Total,
,,1st Time in College,1st Time PB,1st Time Transfer,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
"Engineering       AERL
AERO BMEL BMEN CECL CECN CEEL CEEN CHEL CHEN CPEN CPSC CPSL CVEL CVEN ELEL ELEN ENGR ENSM ENTC ENTL HLPH IDIL IDIS IHYG INEL INEN ITDE MEEL MEEN NUEL NUEN OCEL OCEN PETE PETL PREN RHEL RHEN SENG",,"1
1
2
1
1
1
1","1
1","3
1
1
7
4
3
6
10
6
4
6
3
3
5
1
2","1
1
1
2
2
1
1
1
1
1
1
1
1","23
98
25
80
30
98
38
90
45
162
162
46
48
229
56
205
209
32
68
171
24
88
47
281
13
36
10
35
32
8
35
4
13","1
2
2
3
6
6
1
2
5
1
3",1,"32
32
5
4
26
13
83
91
61
1
1
8
1
85
1
143
16
9
77
2","3
2
2
1
1
1",1,"36
19
1
2
70
15
48
53
125
2
32
15
73
25
14
30",,"26
169
26
132
31
105
47
98
50
262
30
299
50
56
382
67
398
4
1
209
39
8
74
172
1
31
208
16
52
504
17
77
15
61
143
11
35
5
13
2",
,Subtotal,8,2,65,15,2541,32,1,691,10,1,560,,3926,
G. Bush,BUSH,,,,,,2,,47,,,,,49,
School of,INTA,,,,,,,,1,,,,,1,
Govt,PADM,,,,,,,,1,,,,,1,
,Subtotal,,,,,,2,,49,,,,,51,
"Prepared by OISP, 09 Aug 02",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
