"Summer 2002
Geosciences             ATMO GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SCOM SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine                  VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal
Other - Special        CLMD
Populations    COFD SABX SRPH
Subtotal
Grand Total",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
86
122
116
62
386
86
136
392
307
236
322
35
49
460
23
657
340
152
3195
457
284
177
131
55
1104
721
30
5
3
49
33
841
583
583
7
17
16
10
50
19159",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,30,38,,,,2,,,,,5,10,,1,35,51,,
,39,64,,1,3,5,,1,,,1,7,1,,44,78,,
,27,42,,,5,1,1,1,,1,8,28,2,,43,73,,
,14,18,,,2,,,1,,,12,14,,1,28,34,,
,110,162,,1,10,8,1,3,,1,26,59,3,2,150,236,,
,41,25,,,7,4,,,,,6,1,1,1,55,31,,
,57,36,4,1,20,6,5,3,,,1,1,2,,89,47,,
,76,222,3,3,13,20,7,7,1,1,8,23,2,6,110,282,,
,198,62,4,2,20,6,2,,1,,3,3,5,1,233,74,,
,66,134,3,2,5,18,2,1,1,,,,1,3,78,158,,
,219,62,6,2,12,7,2,2,1,,6,,1,2,247,75,,
,13,7,,,8,7,,,,,,,,,21,14,,
,15,27,,,1,,1,2,,,,,,3,17,32,,
,156,220,10,5,14,31,3,4,1,2,2,6,3,3,189,271,,
,11,5,,,3,4,,,,,,,,,14,9,,
,389,138,14,4,54,16,20,5,2,1,4,2,6,2,489,168,,
,214,75,3,3,17,9,6,1,3,,3,3,2,1,248,92,,
,80,39,5,1,8,5,2,2,,,5,3,2,,102,50,,
,1535,1052,52,23,182,133,50,27,10,4,38,42,25,22,1892,1303,,
,210,117,11,9,32,19,23,13,,,9,5,3,6,288,169,,
,44,91,5,3,4,15,7,8,,1,33,61,8,4,101,183,,
,61,53,,1,3,4,2,4,,,12,29,8,,86,91,,
,9,47,,1,,2,,4,,,9,55,,4,18,113,,
,4,9,1,,1,1,1,,,,25,13,,,32,23,,
,328,317,17,14,40,41,33,29,,1,88,163,19,14,525,579,,
,396,204,16,2,31,23,21,11,3,,1,,11,2,479,242,,
,12,6,,,,,,,,,3,8,,1,15,15,,
,4,1,,,,,,,,,,,,,4,1,,
,2,1,,,,,,,,,,,,,2,1,,
,14,17,,1,1,1,1,,,,8,5,,1,24,25,,
,6,9,1,,1,,2,,,,7,6,1,,18,15,,
,434,238,17,3,33,24,24,11,3,,19,19,12,4,542,299,,
,193,217,14,38,48,39,10,14,,,2,2,3,3,270,313,,
,193,217,14,38,48,39,10,14,,,2,2,3,3,270,313,,
,1,2,,1,,,,,,,1,2,,,2,5,,
,7,4,,,,,2,1,,,2,1,,,11,6,,
,,,,,,,,,,,11,5,,,11,5,,
,3,1,,2,,2,,,,,1,,1,,5,5,,
,11,7,,3,,2,2,1,,,15,8,1,,29,21,,
,7111,6825,301,231,788,709,276,329,40,45,615,1594,140,155,9271,9888,,
"Prepared by OISP, 09 Aug 02",,,,,,,,,,,,,,,,,,
