Top 10,,,,,,,,,
Summer 2002 Feeder Patterns Undergraduate Transfer,,,,,,,,,
Country,,,Students  % Total,,,,,,
United States,,,279,,,,95.5%,,
Indonesia,,,3,,,,1.0%,,
Turkey,,,2,,,,0.7%,,
Angola,,,1,,,,0.3%,,
"China, People's Rep of",,,1,,,,0.3%,,
Colombia,,,1,,,,0.3%,,
"Korea, Republic of",,,1,,,,0.3%,,
Nigeria,,,1,,,,0.3%,,
Pakistan,,,1,,,,0.3%,,
Panama,,,1,,,,0.0%,,
Texas County   Students  % Total,,,,,,,,,
Brazos,,58,,,19.9%,,,,
Harris,,40,,,13.7%,,,,
Dallas,,9,,,3.1%,,,,
Fort Bend,,9,,,3.1%,,,,
Bexar,,8,,,2.7%,,,,
Montgomery,,8,,,2.7%,,,,
Brazoria,,6,,,2.1%,,,,
Tarrant,,6,,,2.1%,,,,
Victoria,,6,,,2.1%,,,,
Gregg,,5,,,1.7%,,,,
State,Students  % Total,,,,,,,,
Texas,274,,,93.8%,,,,,
California,2,,,0.7%,,,,,
Arkansas,1,,,0.3%,,,,,
Illinois,1,,,0.3%,,,,,
Louisiana,1,,,0.3%,,,,,
