Summer 2002,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Architecture,ARCH,41,20.6%,1,0.0%,5,25.0%,3,-40.0%,2,100.0%,58,9.4%,2,100.0%,110,12.2%,
,COMG,7,16.7%,,,0,-100.0%,,,,,28,115.4%,,,35,75.0%,
,COSC,108,17.4%,1,100.0%,10,0.0%,2,0.0%,,,,,0,-100.0%,123,12.8%,
,COSL,84,29.2%,1,0.0%,13,62.5%,,,,,,,1,100.0%,99,33.8%,
,ENDL,73,-27.0%,1,0.0%,12,100.0%,4,-20.0%,1,0.0%,,,1,-50.0%,92,-20.0%,
,ENDS,154,10.0%,2,-33.3%,15,-25.0%,9,80.0%,2,100.0%,4,0.0%,7,75.0%,193,9.0%,
,LADE,,,,,,,,,,,0,-100.0%,,,0,-100.0%,
,LAND,16,33.3%,,,0,-100.0%,1,100.0%,,,4,300.0%,0,-100.0%,21,40.0%,
,LANL,15,-25.0%,,,1,-50.0%,,,,,0,-100.0%,1,100.0%,17,-26.1%,
,LDEV,8,0.0%,,,,,1,100.0%,,,2,-60.0%,,,11,-15.4%,
,URPL,2,100.0%,0,-100.0%,1,100.0%,,,,,3,-40.0%,,,6,-14.3%,
,URSC,12,-14.3%,0,-100.0%,1,0.0%,1,100.0%,,,9,28.6%,,,23,0.0%,
,VIZA,18,5.9%,,,3,50.0%,2,100.0%,1,0.0%,5,0.0%,1,100.0%,30,15.4%,
,Subtotal,538,5.7%,6,-25.0%,61,10.9%,23,27.8%,6,50.0%,113,18.9%,13,8.3%,760,8.4%,
Business,ACCT,401,-2.4%,11,37.5%,30,50.0%,15,50.0%,2,-33.3%,17,13.3%,8,0.0%,484,1.9%,
Admin,AGBU,3,-25.0%,,,,,,,,,,,,,3,-25.0%,
,BUAD,331,0.3%,11,37.5%,23,-14.8%,15,15.4%,2,100.0%,27,-35.7%,10,150.0%,419,-1.4%,
,BUAG,2,100.0%,,,,,,,,,,,,,2,100.0%,
,FINC,348,-4.1%,5,0.0%,21,-19.2%,14,75.0%,3,100.0%,17,-32.0%,8,300.0%,416,-3.0%,
,INFO,191,-28.2%,6,-33.3%,15,-21.1%,22,29.4%,,,8,-38.5%,2,-66.7%,244,-26.1%,
,MGMT,192,-1.5%,3,50.0%,18,-14.3%,10,100.0%,2,0.0%,23,43.8%,5,0.0%,253,2.8%,
,MISY,35,-7.9%,0,-100.0%,3,0.0%,3,200.0%,,,9,-40.0%,1,0.0%,51,-13.6%,
,MKTG,397,-16.2%,4,-33.3%,33,6.5%,5,0.0%,3,200.0%,15,25.0%,6,-25.0%,463,-13.8%,
,MLER,28,47.4%,,,1,100.0%,,,,,,,,,29,52.6%,
,Subtotal,1928,-8.2%,40,2.6%,144,-2.0%,84,42.4%,12,71.4%,116,-15.9%,40,17.6%,2364,-6.3%,
Education,CPSY,28,-9.7%,0,-100.0%,4,0.0%,0,-100.0%,,,1,0.0%,0,-100.0%,33,-15.4%,
,EDAD,181,24.0%,19,-17.4%,24,9.1%,0,-100.0%,1,0.0%,3,0.0%,4,33.3%,232,16.0%,
,EDCI,147,-16.0%,30,-25.0%,25,-30.6%,3,0.0%,1,-50.0%,8,-38.5%,1,-75.0%,215,-21.2%,
,EDHL,69,-16.9%,7,-12.5%,9,-35.7%,1,-50.0%,1,100.0%,,,3,200.0%,90,-16.7%,
,EDIS,253,-13.7%,4,-42.9%,17,-41.4%,4,300.0%,3,0.0%,,,2,-50.0%,283,-16.0%,
,EDIT,2,-33.3%,,,,,,,,,,,,,2,-33.3%,
,EDKI,255,25.0%,8,-20.0%,18,-5.3%,2,100.0%,2,100.0%,0,-100.0%,4,33.3%,289,20.9%,
,EDTC,28,21.7%,1,100.0%,2,100.0%,,,,,6,50.0%,,,37,37.0%,
,EHRD,104,23.8%,5,0.0%,14,27.3%,1,100.0%,1,0.0%,13,-7.1%,2,-33.3%,140,18.6%,
,EPSY,113,27.0%,5,0.0%,29,26.1%,2,100.0%,1,-50.0%,7,-46.2%,2,-50.0%,159,16.1%,
,HEED,13,62.5%,0,-100.0%,,,0,-100.0%,,,,,1,0.0%,14,27.3%,
,HLTH,100,31.6%,6,100.0%,16,60.0%,2,100.0%,,,,,0,-100.0%,124,36.3%,
,IDTC,1,0.0%,,,,,,,,,,,,,1,0.0%,
,INST,488,39.0%,6,50.0%,33,50.0%,1,0.0%,6,200.0%,1,100.0%,6,200.0%,541,41.6%,
,KINE,222,7.8%,11,83.3%,23,64.3%,2,100.0%,0,-100.0%,7,16.7%,1,-80.0%,266,11.3%,
,PHED,5,-37.5%,,,1,-66.7%,1,0.0%,,,,,,,7,-41.7%,
,SPSY,20,11.1%,4,33.3%,13,30.0%,,,,,3,200.0%,1,0.0%,41,24.2%,
,TECR,6,50.0%,0,-100.0%,2,100.0%,,,,,,,0,-100.0%,8,14.3%,
,Subtotal,2035,12.9%,106,-9.4%,230,5.5%,19,26.7%,16,33.3%,49,-15.5%,27,-20.6%,2482,10.0%,
"Prepared by OISP, 09 Aug 02",,,,,,,,,,,,,,,,,,
