Summer 2002,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Engineering,AERL,26,-35.0%,32,-28.9%,39,21.9%,,,26,-35.0%,
,AERO,98,0.0%,,,,,,,169,-3.4%,
,BMEL,26,-16.1%,,,,,,,26,-16.1%,
,BMEN,80,8.1%,33,26.9%,19,11.8%,,,132,12.8%,
,CECL,31,-34.0%,,,,,,,31,-34.0%,
,CECN,99,-20.2%,5,150.0%,1,0.0%,,,105,-17.3%,
,CEEL,47,11.9%,,,,,,,47,11.9%,
,CEEN,90,20.0%,6,100.0%,2,100.0%,,,98,30.7%,
,CHEL,50,-5.7%,,,,,,,50,-5.7%,
,CHEN,162,-7.4%,28,-3.4%,72,16.1%,,,262,-1.5%,
,CPEN,,,13,-69.0%,17,6.3%,,,30,-48.3%,
,CPSC,164,-2.4%,86,-25.9%,49,-21.0%,,,299,-13.6%,
,CPSL,50,-39.8%,,,,,,,50,-39.8%,
,CVEL,56,-12.5%,,,,,,,56,-12.5%,
,CVEN,230,-7.6%,98,12.6%,54,-3.6%,,,382,-2.6%,
,ELEL,67,-10.7%,,,,,,,67,-10.7%,
,ELEN,206,12.0%,67,-21.2%,125,-4.6%,,,398,-0.5%,
,ENGR,,,2,100.0%,2,-33.3%,,,4,0.0%,
,ENSM,,,1,-50.0%,,,,,1,-50.0%,
,ENTC,209,-13.6%,,,,,,,209,-13.6%,
,ENTL,39,8.3%,,,,,,,39,8.3%,
,HLPH,,,8,166.7%,,,,,8,166.7%,
,IDIL,74,-17.8%,,,,,,,74,-17.8%,
,IDIS,172,4.9%,,,,,,,172,4.9%,
,IHYG,,,1,0.0%,,,,,1,0.0%,
,INEL,31,6.9%,,,,,,,31,6.9%,
,INEN,89,18.7%,87,-6.5%,32,18.5%,,,208,6.7%,
,ITDE,,,1,-66.7%,15,66.7%,,,16,33.3%,
,MEEL,52,-27.8%,,,,,,,52,-27.8%,
,MEEN,282,-14.0%,148,-4.5%,74,8.8%,,,504,-8.5%,
,NUEL,17,21.4%,,,,,,,17,21.4%,
,NUEN,36,63.6%,16,0.0%,25,66.7%,,,77,45.3%,
,OCEL,15,25.0%,,,,,,,15,25.0%,
,OCEN,37,48.0%,10,-16.7%,14,-12.5%,,,61,15.1%,
,PETE,32,146.2%,80,17.6%,31,10.7%,,,143,31.2%,
,PETL,11,-50.0%,,,,,,,11,-50.0%,
,PREN,35,-25.5%,,,,,,,35,-25.5%,
,RHEL,5,150.0%,,,,,,,5,150.0%,
,RHEN,13,62.5%,,,,,,,13,62.5%,
,SENG,,,2,-66.7%,,,,,2,-66.7%,
"Prepared by OISP, 09 Aug 02",,,,,,,,,,,,
