Summer 2002,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
"Other - Special       BIOT
Populations            MDSC PHLT REEP",,"7
1
3","4
2
1",,"1
2",,2,2,1,,,"2
1
1
11","1
2
5",1,,"11
2
5
11","6
5
5
5","17
7
10
16",
,Subtotal,11,7,,3,,2,2,1,,,15,8,1,,29,21,50,
Grand Total,,7111,6825,301,231,788,709,276,329,40,45,615,1594,140,155,9271,9888,19159,
"Prepared by OISP, 09 Aug 02",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
