"Summer 2002
Agriculture              AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC JOUR PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture    ARCH COSC LAUP
Subtotal
Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EDAD EDCI EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
425
723
552
176
268
113
69
27
108
6
104
100
104
215
133
294
3417
425
257
78
760
484
424
445
295
253
463
2364
1
368
8
92
268
791
954
2482
195
151
312
56
493
514
631
494
247
556
123
154
3926
51
51",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,152,198,1,,4,9,1,1,,1,15,39,2,2,175,250,,
,307,323,10,27,13,15,2,4,3,3,2,6,3,5,340,383,,
,301,146,7,2,36,10,4,2,3,,19,14,4,4,374,178,,
,23,125,4,,3,6,,1,,,5,8,,1,35,141,,
,82,74,9,4,13,12,9,10,,,20,28,3,4,136,132,,
,32,46,2,10,9,7,1,,1,3,,,1,1,46,67,,
,20,28,,,,3,4,2,,,8,4,,,32,37,,
,3,16,,,,,,,,,1,6,,1,4,23,,
,52,28,,1,2,2,,1,,1,4,16,,1,58,50,,
,3,3,,,,,,,,,,,,,3,3,,
,33,27,4,3,8,3,1,1,,1,8,10,2,3,56,48,,
,33,39,,2,3,8,1,1,,,9,4,,,46,54,,
,26,52,,,3,4,1,2,,1,3,11,1,,34,70,,
,97,87,,2,5,7,,1,,1,4,6,3,2,109,106,,
,19,61,,2,1,,,,,,14,33,,3,34,99,,
,114,128,3,,8,9,4,3,,2,8,7,4,4,141,153,,
,1297,1381,40,53,108,95,28,29,7,13,120,192,23,31,1623,1794,,
,136,150,3,1,16,19,7,11,,4,26,41,5,6,193,232,,
,18,181,,2,6,17,1,1,,2,10,18,,1,35,222,,
,22,31,,,1,2,2,1,,,8,10,1,,34,44,,
,176,362,3,3,23,38,10,13,,6,44,69,6,7,262,498,,
,234,167,10,1,22,8,10,5,1,1,11,6,4,4,292,192,,
,178,158,8,3,11,12,8,7,,2,9,18,4,6,218,206,,
,154,222,4,1,11,11,8,6,,3,8,9,2,6,187,258,,
,94,132,5,1,10,8,13,12,,,9,8,2,1,133,162,,
,88,104,1,2,10,8,8,2,1,1,10,13,4,1,122,131,,
,273,124,2,2,21,12,2,3,2,1,7,8,1,5,308,155,,
,1021,907,30,10,85,59,49,35,4,8,54,62,17,23,1260,1104,,
,,,,,,1,,,,,,,,,,1,,
,169,115,16,6,26,11,,1,2,,12,4,3,3,228,140,,
,4,1,2,,1,,,,,,,,,,7,1,,
,71,12,2,1,4,1,,,,,1,,,,78,14,,
,148,40,9,1,42,6,2,,1,,13,3,3,,218,50,,
,424,240,23,9,39,29,5,3,3,,2,5,4,5,500,291,,
,765,46,30,7,63,7,6,2,10,,8,1,9,,891,63,,
,1581,454,82,24,175,55,13,6,16,,36,13,19,8,1922,560,,
,24,89,2,,6,5,3,2,,,5,56,,3,40,155,,
,43,44,4,3,4,4,5,7,,,12,24,1,,69,82,,
,51,120,3,4,7,12,11,7,,,18,72,2,5,92,220,,
,8,16,6,2,4,6,2,2,,,,9,,1,20,36,,
,37,222,4,3,5,23,11,39,,1,46,96,1,5,104,389,,
,71,241,3,8,19,34,2,11,,,19,100,2,4,116,398,,
,28,260,8,13,3,37,11,45,,3,25,193,,5,75,556,,
,52,319,10,11,14,46,1,23,,4,3,7,,4,80,414,,
,24,49,4,4,8,12,5,6,,2,18,109,4,2,63,184,,
,44,272,1,4,5,22,2,13,,1,4,180,1,7,57,499,,
,19,45,1,3,3,6,3,3,,,9,26,1,4,36,87,,
,6,28,,2,3,6,,3,,,14,92,,,23,131,,
,407,1705,46,57,81,213,56,161,,11,173,964,12,40,775,3151,,
,18,23,,2,3,2,,,,1,,1,,1,21,30,,
,18,23,,2,3,2,,,,1,,1,,1,21,30,,
"Prepared by OISP, 09 Aug 02",,,,,,,,,,,,,,,,,,
