Country,Undergraduate,Masters,PhD,Professional,Total Students
Algeria,,,1,,1
Angola,4,1,,,5
Argentina,3,3,6,,12
Armenia,,3,1,,4
Australia,,2,,,2
Austria,,1,,,1
"Bahamas, The",,1,,,1
Bangladesh,1,9,4,,14
Belarus,,2,5,,7
Belize (British Honduras),,1,,,1
Bolivia,3,2,1,,6
Botswana,,,1,,1
Brazil,4,4,5,,13
Bulgaria,,4,4,,8
Burma (Myanmar),,,1,,1
Canada,2,9,17,,28
Chile,,1,1,,2
"China, People's Rep of",6,145,271,,422
Colombia,7,13,8,,28
Costa Rica,3,1,6,,10
Cote d'Ivoire (Ivory Coast),,1,2,,3
Croatia,1,1,,,2
Ecuador,5,9,2,,16
Egypt (A.R.E.),1,1,20,,22
Eritrea,,1,1,,2
Ethiopia,2,,,,2
France,2,8,9,,19
Georgia (C.I.S.),,1,3,,4
Germany,3,3,1,,7
Ghana,2,2,2,,6
Greece,,3,9,,12
Guatemala,29,3,2,,34
Honduras,9,2,3,,14
Hong Kong,3,,4,,7
Hungary,,,1,,1
Iceland,,,1,,1
India,15,358,70,,443
