Summer 2002,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,595,9.8%,205,-1.0%,304,1.7%,,,1104,5.3%,
Gender,Female,353,13.9%,79,5.3%,93,-4.1%,,,525,8.9%,
,Male,242,4.3%,126,-4.5%,211,4.5%,,,579,2.3%,
Ethnicity,White,433,8.0%,101,-1.9%,111,0.9%,,,645,5.0%,
,Black,24,0.0%,3,-50.0%,4,33.3%,,,31,-6.1%,
,Hispanic,62,10.7%,11,83.3%,8,-11.1%,,,81,14.1%,
,Asian,48,26.3%,8,14.3%,6,0.0%,,,62,21.6%,
,American Indian,0,-100.0%,,,1,-50.0%,,,1,-66.7%,
,International,4,-60.0%,75,-9.6%,172,3.0%,,,251,-3.5%,
,Unknown/Other,24,100.0%,7,250.0%,2,0.0%,,,33,106.3%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,340,7.6%,1,-66.7%,1,100.0%,,,342,7.2%,
,22-25,238,16.1%,91,3.4%,46,-9.8%,,,375,9.0%,
,26-30,14,-17.6%,48,-17.2%,170,8.3%,,,232,0.0%,
,31-39,2,-33.3%,30,-23.1%,77,-4.9%,,,109,-11.4%,
,40+,1,0.0%,35,84.2%,10,0.0%,,,46,53.3%,
Enrollment,1st Time in College,2,-50.0%,,,,,,,2,-50.0%,
Status,1st Time PB,0,-100.0%,,,,,,,0,-100.0%,
,1st Time Graduate,,,5,-68.8%,3,0.0%,,,8,-57.9%,
,1st Time Transfer,7,0.0%,,,,,,,7,0.0%,
,Readmitted,5,-37.5%,,,0,-100.0%,,,5,-44.4%,
,Continuing,581,11.7%,200,4.7%,301,2.0%,,,1082,7.6%,
Tuition Status,Resident Tuition,560,12.4%,66,10.0%,41,-18.0%,,,667,9.7%,
,Non-Resident Tuition,7,-70.8%,28,-9.7%,24,-11.1%,,,59,-28.0%,
,Tuition Exemption/Waiver,28,40.0%,111,-4.3%,239,7.7%,,,378,5.6%,
Residency,Texas Resident,561,12.2%,68,13.3%,43,-17.3%,,,672,9.8%,
Status,"Non-TX, US Resident",30,-9.1%,62,-3.1%,88,10.0%,,,180,1.7%,
,"Non-TX, Non-US Resident",4,-55.6%,75,-9.6%,173,3.6%,,,252,-2.7%,
SCH Categories,< 6 SCH,191,6.7%,43,-12.2%,41,-6.8%,,,275,1.1%,
,6-8 SCH,237,0.0%,157,1.3%,259,4.4%,,,653,2.0%,
,9-11 SCH,119,40.0%,4,100.0%,3,-50.0%,,,126,35.5%,
,12-14 SCH,45,32.4%,0,-100.0%,1,0.0%,,,46,27.8%,
,15-17 SCH,3,-57.1%,1,100.0%,,,,,4,-42.9%,
,>17 SCH,,,,,,,,,,,
Ft/Pt: TAMU,Less Than Half Time,37,-17.8%,8,-42.9%,21,5.0%,,,66,-16.5%,
Status,Half-Time,177,7.3%,7,250.0%,2,100.0%,,,186,10.7%,
,Three-Quarter Time,3,100.0%,,,,,,,3,100.0%,
,Full-Time,378,13.9%,190,-0.5%,281,1.1%,,,849,6.0%,
"Prepared by OISP, 09 Aug 02",,,,,,,,,,,,
