Top 10,,,,,,,,,
Summer 2002  Feeder Patterns First Time In College,,,,,,,,,
Texas County   Students  % Total,,,,,,,,,
Harris,,,29,,13.8%,,,,
Brazos,,,21,,10.0%,,,,
Bexar,,,16,,7.6%,,,,
Dallas,,,8,,3.8%,,,,
Tarrant,,,7,,3.3%,,,,
Travis,,,6,,2.9%,,,,
Denton,,,5,,2.4%,,,,
Bell,,,5,,2.4%,,,,
Webb,,,5,,2.4%,,,,
Williamson,,,5,,2.4%,,,,
State,Students  % Total,,,,,,,,
Texas,207,,,98.6%,,,,,
Louisiana,1,,,0.5%,,,,,
Puerto Rico,1,,,0.5%,,,,,
Country,,Students  % Total,,,,,,,
United States,,209,,,,99.5%,,,
Mexico,,1,,,,0.5%,,,
