Summer 2002,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,536,6.6%,179,11.9%,45,18.4%,,,760,8.4%,
Gender,Female,188,0.5%,67,-1.5%,7,-12.5%,,,262,-0.4%,
,Male,348,10.1%,112,21.7%,38,26.7%,,,498,13.7%,
Ethnicity,White,445,5.7%,76,4.1%,17,13.3%,,,538,5.7%,
,Black,5,0.0%,1,0.0%,0,-100.0%,,,6,-25.0%,
,Hispanic,51,8.5%,8,14.3%,2,100.0%,,,61,10.9%,
,Asian,16,33.3%,6,20.0%,1,0.0%,,,23,27.8%,
,American Indian,5,66.7%,1,0.0%,,,,,6,50.0%,
,International,4,-20.0%,85,18.1%,24,33.3%,,,113,18.9%,
,Unknown/Other,10,0.0%,2,100.0%,1,0.0%,,,13,8.3%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,211,-0.5%,0,-100.0%,,,,,211,-0.9%,
,22-25,301,9.5%,80,31.1%,0,-100.0%,,,381,12.7%,
,26-30,16,77.8%,70,4.5%,9,12.5%,,,95,13.1%,
,31-39,8,33.3%,25,13.6%,22,22.2%,,,55,19.6%,
,40+,0,-100.0%,4,-55.6%,14,40.0%,,,18,-10.0%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,1,100.0%,,,,,,,1,100.0%,
,1st Time Graduate,,,21,61.5%,1,100.0%,,,22,69.2%,
,1st Time Transfer,7,16.7%,,,,,,,7,16.7%,
,Readmitted,5,66.7%,,,,,,,5,66.7%,
,Continuing,523,5.9%,158,7.5%,44,15.8%,,,725,6.8%,
Tuition Status,Resident Tuition,514,6.6%,76,2.7%,19,26.7%,,,609,6.7%,
,Non-Resident Tuition,9,-35.7%,35,2.9%,9,0.0%,,,53,-7.0%,
,Tuition Exemption/Waiver,13,85.7%,68,30.8%,17,21.4%,,,98,34.2%,
Residency,Texas Resident,514,6.6%,77,2.7%,19,26.7%,,,610,6.6%,
Status,"Non-TX, US Resident",18,12.5%,17,30.8%,2,-60.0%,,,37,8.8%,
,"Non-TX, Non-US Resident",4,-20.0%,85,18.1%,24,33.3%,,,113,18.9%,
SCH Categories,< 6 SCH,150,0.7%,82,2.5%,20,33.3%,,,252,3.3%,
,6-8 SCH,199,-0.5%,72,14.3%,21,23.5%,,,292,4.3%,
,9-11 SCH,105,5.0%,14,0.0%,4,300.0%,,,123,7.0%,
,12-14 SCH,75,66.7%,11,450.0%,0,-100.0%,,,86,75.5%,
,15-17 SCH,7,-22.2%,0,-100.0%,0,-100.0%,,,7,-46.2%,
,>17 SCH,,,,,,,,,,,
Ft/Pt: TAMU,Less Than Half Time,18,63.6%,20,11.1%,16,60.0%,,,54,38.5%,
Status,Half-Time,125,8.7%,42,40.0%,0,-100.0%,,,167,14.4%,
,Three-Quarter Time,,,,,,,,,,,
,Full-Time,393,4.2%,117,4.5%,29,7.4%,,,539,4.5%,
"Prepared by OISP, 09 Aug 02",,,,,,,,,,,,
