Summer 2002,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Agriculture,ADEV,527,33.1%,5,66.7%,37,15.6%,,,532,33.3%,
,AGBL,44,-4.3%,,,,,,,44,-4.3%,
,AGBU,93,-37.6%,25,19.0%,,,,,118,-30.6%,
,AGEC,202,-3.8%,24,0.0%,,,,,263,-1.1%,
,AGED,,,38,11.8%,25,-16.7%,,,63,-1.6%,
,AGEN,28,-26.3%,1,-95.5%,0,-100.0%,,,29,-56.7%,
,AGJR,40,8.1%,,,,,,,40,8.1%,
,AGLS,113,-33.1%,,,,,,,113,-33.1%,
,AGRO,36,-33.3%,16,128.6%,10,25.0%,,,62,-10.1%,
,AGSC,94,38.2%,,,,,,,94,38.2%,
,AGSM,107,40.8%,0,-100.0%,,,,,107,39.0%,
,ANBR,,,,,0,-100.0%,,,0,-100.0%,
,ANSC,269,15.5%,27,-42.6%,15,7.1%,,,311,5.8%,
,BAEN,,,17,100.0%,8,100.0%,,,25,100.0%,
,BESC,75,-7.4%,,,,,,,75,-7.4%,
,BICH,94,32.4%,22,-4.3%,66,1.5%,,,182,14.5%,
,BSEN,14,-17.6%,,,,,,,14,-17.6%,
,DASC,3,-40.0%,,,,,,,3,-40.0%,
,ENTO,13,0.0%,23,35.3%,29,31.8%,,,65,25.0%,
,FISC,,,1,100.0%,,,,,1,100.0%,
,FORS,7,-63.2%,5,150.0%,5,-28.6%,,,17,-39.3%,
,FSTC,40,-7.0%,26,-16.1%,17,13.3%,,,83,-6.7%,
,GENE,69,-21.6%,9,50.0%,21,-8.7%,,,99,-15.4%,
,HORT,68,7.9%,15,-25.0%,12,71.4%,,,95,5.6%,
,MEPS,,,8,166.7%,12,140.0%,,,20,150.0%,
,NRDV,,,3,200.0%,,,,,3,200.0%,
,NUSC,120,30.4%,,,,,,,120,30.4%,
,NUTR,,,35,-10.3%,13,-13.3%,,,48,-11.1%,
,PLBR,,,8,-11.1%,14,27.3%,,,22,10.0%,
,PLPA,,,4,-60.0%,20,5.3%,,,24,-17.2%,
,PLSC,,,1,100.0%,,,,,1,100.0%,
,POSC,66,17.9%,6,0.0%,12,100.0%,,,84,23.5%,
,PPHY,,,1,0.0%,1,0.0%,,,2,0.0%,
,PPRO,,,1,0.0%,,,,,1,0.0%,
,PREP,,,12,0.0%,8,-20.0%,,,20,-9.1%,
,PSSC,3,-40.0%,,,,,,,3,-40.0%,
,RENR,16,33.3%,,,,,,,16,33.3%,
,RLEM,55,22.2%,21,0.0%,22,37.5%,,,98,19.5%,
,RPTS,195,21.9%,10,-9.1%,8,100.0%,,,213,21.7%,
,RRDV,,,1,0.0%,1,0.0%,,,2,0.0%,
"Prepared by OISP, 09 Aug 02",,,,,,,,,,,,
