Summer 2002,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Architecture,ARCH,13,28,1,1,1,4,1,3,1,2,22,36,1,2,37,73,110,
,COMG,1,6,,,,,,,,,10,18,,,11,24,35,
,COSC,10,98,,,4,6,,1,,,,,,,15,108,123,
,COSL,7,77,,1,2,11,,,,,,,,1,9,90,99,
,ENDL,37,36,,1,5,7,3,1,,1,,,,,46,46,92,
,ENDS,81,73,2,,9,6,4,5,,2,1,3,4,3,101,92,193,
,LAND,9,7,,,,,1,,,,4,,,,14,7,21,
,LANL,9,6,,,1,,,,,,,,1,,11,6,17,
,LDEV,2,6,,,,,1,,,,1,1,,,4,7,11,
,URPL,1,1,,,,1,,,,,2,1,,,3,3,6,
,URSC,1,11,,,,1,,1,,,1,8,,,2,21,23,
,VIZA,5,13,,,1,2,,2,,1,3,2,,1,9,21,30,
,Subtotal,176,362,3,3,23,38,10,13,,6,44,69,6,7,262,498,760,
Business,ACCT,234,167,10,1,22,8,10,5,,1,11,6,4,4,292,192,484,
Admin,AGBU,2,1,,,,,,,,,,,,,2,1,3,
,BUAD,175,156,8,3,11,12,8,7,,2,9,18,4,6,215,204,419,
,BUAG,1,1,,,,,,,,,,,,,1,1,2,
,FINC,151,197,4,1,11,10,8,6,,3,8,9,2,6,184,232,416,
,INFO,75,116,5,1,9,6,11,11,,,3,5,2,,105,139,244,
,MGMT,88,104,1,2,10,8,8,2,1,1,10,13,4,1,122,131,253,
,MISY,19,16,,,1,2,2,1,,,6,3,,1,28,23,51,
,MKTG,273,124,2,2,21,12,2,3,2,1,7,8,1,5,308,155,463,
,MLER,3,25,,,,1,,,,,,,,,3,26,29,
,Subtotal,1021,907,30,10,85,59,49,35,4,8,54,62,17,23,1260,1104,2364,
Education,CPSY,11,17,,,3,1,,,,,1,,,,15,18,33,
,EDAD,112,69,14,5,18,6,,,1,,3,,3,1,151,81,232,
,EDCI,116,31,24,6,20,5,2,1,1,,7,1,1,,171,44,215,
,EDHL,62,7,6,1,9,,1,,1,,,,2,1,81,9,90,
,EDIS,236,17,3,1,16,1,4,,3,,,,2,,264,19,283,
,EDIT,1,1,,,,,,,,,,,,,1,1,2,
,EDKI,134,121,4,4,6,12,1,1,2,,,,1,3,148,141,289,
,EDTC,21,7,1,,2,,,,,,5,1,,,29,8,37,
,EHRD,59,45,4,1,9,5,,1,1,,9,4,,2,82,58,140,
,EPSY,97,16,4,1,28,1,2,,1,,7,,2,,141,18,159,
,HEED,11,2,,,,,,,,,,,1,,12,2,14,
,HLTH,93,7,6,,13,3,2,,,,,,,,114,10,124,
,IDTC,,1,,,,,,,,,,,,,,1,1,
,INST,479,9,5,1,31,2,,1,6,,1,,6,,528,13,541,
,KINE,121,101,7,4,11,12,1,1,,,2,5,,1,142,124,266,
,PHED,3,2,,,,1,,1,,,,,,,3,4,7,
,SPSY,20,,4,,9,4,,,,,1,2,1,,35,6,41,
,TECR,5,1,,,,2,,,,,,,,,5,3,8,
,Subtotal,1581,454,82,24,175,55,13,6,16,,36,13,19,8,1922,560,2482,
"Prepared by OISP, 09 Aug 02",,,,,,,,,,,,,,,,,,,
