Summer 2002,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Education          CPSY
EDAD EDCI EDHL EDIS EDIT EDKI EDTC EHRD EPSY HEED HLTH IDTC INST KINE PHED SPSY TECR",,"90
283
2
289
124
1
541
208
8","-16.7%
-16.0%
-33.3%
20.9%
36.3%
0.0%
41.6%
6.7%
14.3%","1
103
133
37
27
105
5
38
4
4","-50.0%
58.5%
-25.7%
37.0%
-3.6%
28.0%
66.7%
35.7%
-33.3%
33.3%","32
129
82
113
54
9
20
3
37","-13.5%
-4.4%
-12.8%
25.6%
-1.8%
12.5%
25.0%
-50.0%
23.3%",,,"33
232
215
90
283
2
289
37
140
159
14
124
1
541
266
7
41
8","-15.4%
16.0%
-21.2%
-16.7%
-16.0%
-33.3%
20.9%
37.0%
18.6%
16.1%
27.3%
36.3%
0.0%
41.6%
11.3%
-41.7%
24.2%
14.3%",
,Subtotal,1546,13.4%,457,8.0%,479,1.7%,,,2482,10.0%,
"Prepared by OISP, 09 Aug 02",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
