Country,Undergraduate,Masters,PhD,Professional,Total Students
Indonesia,34,20,15,,69
Iran,1,8,14,,23
Iraq,,,1,,1
Israel,1,2,1,,4
Italy,1,1,2,,4
Jamaica,1,,,,1
Japan,4,5,7,,16
Jordan,,2,9,,11
Kazakhstan,,1,1,,2
Kenya,1,,2,,3
"Korea, Republic of",12,109,270,,391
Kuwait,1,2,1,,4
Lebanon,,3,2,,5
MADAGASCAR,,,1,,1
Malawi (Central Africa),,1,,,1
Malaysia,,2,5,,7
Mexico,13,36,50,,99
Morocco,,2,2,,4
Nepal,1,,,,1
Netherlands,,,2,,2
Nicaragua,4,,1,,5
Nigeria,9,11,3,,23
Norway,2,2,1,,5
Oman,2,3,,,5
Other Foreign or US,2,5,2,,9
Pakistan,2,10,3,,15
Panama,10,2,,,12
Paraguay,1,,1,,2
Peru,,5,5,,10
Philippines,,2,5,,7
Portugal,,1,4,,5
Qatar,,1,,,1
Romania,,7,8,,15
Russia,3,11,21,,35
Saudi Arabia,2,4,9,,15
Serbia,,3,4,,7
Singapore,3,4,5,,12
