Country,Undergraduate,Masters,PhD,Professional,Total Students
Algeria,,1,,,1
Angola,3,1,,,4
Argentina,4,6,7,,17
Armenia,,3,1,,4
Australia,3,2,,,5
Austria,1,,,,1
Azerbaijan,1,7,,,8
"Bahamas, The",,,1,,1
Bangladesh,6,30,9,,45
Belarus,,5,5,,10
Belize (British Honduras),1,,,,1
Bolivia,5,4,1,,10
Bosnia-Herzegovina,,,1,,1
Botswana,,1,1,,2
Brazil,18,3,8,,29
British Virgin Islands,,1,,,1
Brunei,,,1,,1
Bulgaria,,5,2,,7
Cameroon,2,,,,2
Canada,13,16,17,,46
Cayman Islands,1,,,,1
Chile,,2,,,2
"China, People's Rep of",11,227,296,,534
Colombia,10,24,11,,45
Costa Rica,15,4,3,,22
Cote d'Ivoire (Ivory Coast),,,1,,1
Croatia,1,3,,,4
Cyprus,4,,,,4
Denmark,1,,1,,2
Dominica,,,1,,1
Dominican Republic,2,,1,,3
Ecuador,19,10,2,,31
Egypt (A.R.E.),2,3,21,,26
El Salvador,3,,,,3
Finland,,1,,,1
France,10,24,8,,42
Georgia (C.I.S.),,2,1,,3
Germany,6,7,5,,18
Ghana,2,2,4,,8
Greece,,2,9,,11
Guatemala,29,3,,,32
