Spring 2001,,Undergraduate,,,,,Masters,,,PhD,,,Professional,Total,
,,1st Time in College,1st Time PB,1st Time Transfer,Re Admitted,Contin uing,1st Time Graduate,Re Admitted,Contin uing,1st Time Graduate,Re Admitted,Contin uing,Continuing,,
Geosciences,ATMO,3,1,3,5,16,3,,29,2,1,9,,38,
,ESCI,,,,,,,,,,,,,16,
,GEOG,,,,,136,,,19,,,18,,181,
,GEOL,,,1,1,92,,,49,,,26,,174,
,GEOP,,,1,,17,,,24,,,19,,61,
,GEOS,,,,,,,,5,,,,,5,
,METR,,,4,,120,,,10,,,5,,140,
,OCNG,,,,,,1,,41,3,,29,,74,
,Subtotal,,1,9,6,381,4,,177,5,,106,,689,
G. Bush School,BUSH,,,,,,,,52,,,,,52,
of Govt,Subtotal,,,,,,,,52,,,,,52,
Liberal Arts,ANTH,,,5,2,99,1,,79,1,,37,,224,
,ANTL,,,,,1,,,,,,,,1,
,ECOL,,,1,,,,,,,,,,1,
,ECON,,,26,7,466,,,23,,,61,,583,
,ENGL,,,18,6,551,2,,40,2,,74,,696,
,ENLL,,,,,1,,,,,,,,1,
,FREN,,,,,11,,,,,,,,11,
,GERM,,,,1,8,,,,,,,,9,
,HIST,2,,13,2,470,1,,23,,,42,,553,
,INTS,1,,5,1,236,,,,,,,,243,
,JOUL,,,,,9,,,,,,,,9,
,JOUR,1,,17,6,726,,,1,,,,,751,
,MODL,,,,,1,1,,11,,,,,13,
,MOLL,,,,,2,,,,,,,,2,
,PHIL,,,1,1,56,,,28,,,,,86,
,POLL,,,,,2,,,,,,,,2,
,POLS,5,,33,5,730,,,8,,,35,,816,
,PSYC,3,,34,8,1211,,,34,,,61,,1351,
,PSYL,,,,,5,,,,,,,,5,
,RUSS,,,,,7,,,,,,,,7,
,SCOL,,,,,2,,,,,,,,2,
,SCOM,,,21,4,609,1,,15,,,17,,667,
,SOCI,1,,8,2,213,,,27,1,,32,,285,
,SOCL,,,,,1,,,,,,,,1,
,SPAN,,,5,,70,,,,,,,,75,
,STJR,,,,,,2,,15,,,,,17,
,THAR,,,1,,52,,,,,,,,53,
,Subtotal,16,,188,45,5539,8,,304,4,1,359,,6464,
"Prepared by OISP, 06 Mar 01",,,,,,,,,,,,,,,
