Country,Undergraduate,Masters,PhD,Professional,Total Students
Romania,1,7,8,,16
Russia,6,17,20,,43
San Marino,,1,,,1
Saudi Arabia,3,6,12,,21
Senegal,,,1,,1
Serbia,,3,3,,6
Sierra Leone,1,,,,1
Singapore,8,3,4,,15
Slovakia,1,,,,1
South Africa,3,1,,,4
Spain,7,2,1,,10
Sri Lanka (Ceylon),1,5,2,,8
Sudan,1,,,,1
Suriname,,1,,,1
Sweden,3,,,,3
Switzerland,2,1,,,3
Syria,,2,,,2
Taiwan,12,20,65,,97
Texas,,1,,,1
Thailand,1,27,32,,60
Trinidad & Tobago,1,3,1,,5
Tunisia,2,,1,,3
Turkey,7,31,48,,86
Turkmenistan,,1,,,1
Uganda,,,1,,1
Ukraine,,,1,,1
United Arab Emirates,12,2,,,14
United Kingdom,6,10,10,,26
United States,"33,268","2,500","1,633",501,"37,902"
Uruguay,,,6,,6
Uzbekistan,3,14,1,,18
Venezuela,9,24,8,,41
"Viet Nam, (South)",6,,5,,11
Zambia,1,1,,,2
