Spring 2001,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Education                CPSY EDAD EDCI EDHL EDIS EDIT EDKI EDTC EHRD EPSY HEED HLTH IDTC INST KINE PHED SPSY
TECR",,"241
971
5
621
120
1
549
262
42","9.0%
24.2%
150.0%
17.8%
-30.2%
-50.0%
-11.6%
-1.9%
-20.8%","2
107
112
39
59
104
4
37
9
4","0.0%
10.3%
17.9%
-17.0%
37.2%
65.1%
-63.6%
-5.1%
-10.0%
0.0%","46
195
91
127
73
10
19
7
43","-8.0%
-3.9%
4.6%
-5.2%
28.1%
0.0%
-24.0%
0.0%
-4.4%",,,"48
302
203
241
971
5
621
39
186
177
14
120
1
549
318
16
47
42","-7.7%
0.7%
11.5%
9.0%
24.2%
150.0%
17.8%
-17.0%
5.1%
47.5%
-33.3%
-30.2%
-50.0%
-11.6%
-3.9%
-5.9%
-4.1%
-20.8%",
,SubTotal,2812,6.2%,477,16.1%,611,-1.1%,,,3900,6.1%,
"Prepared by OISP, 06 Mar 01",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
