Spring 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,397,2.8%,181,7.1%,111,-6.7%,,,689,2.2%,
Gender,Male,227,9.1%,112,4.7%,87,-2.2%,,,426,5.4%,
,Female,170,-4.5%,69,11.3%,24,-20.0%,,,263,-2.6%,
Ethnic,White,345,2.1%,121,0.0%,46,-14.8%,,,512,-0.2%,
Origin,Black,4,0.0%,,,0,-100.0%,,,4,-20.0%,
,Hispanic,29,-3.3%,4,-20.0%,1,-66.7%,,,34,-10.5%,
,Asian,4,100.0%,3,-25.0%,1,0.0%,,,8,14.3%,
,American Indian,3,0.0%,1,100.0%,,,,,4,33.3%,
,International,6,20.0%,48,37.1%,62,3.3%,,,116,16.0%,
,Unknown/Other,6,50.0%,4,0.0%,1,100.0%,,,11,37.5%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,167,-5.1%,,,,,,,167,-5.1%,
,22-25,184,7.6%,65,4.8%,4,33.3%,,,253,7.2%,
,26-30,31,19.2%,82,9.3%,30,-18.9%,,,143,3.6%,
,31-39,11,10.0%,28,0.0%,62,5.1%,,,101,4.1%,
,40+,4,33.3%,6,50.0%,15,-25.0%,,,25,-7.4%,
Enrollment,1st Time in College,0,-100.0%,,,,,,,0,-100.0%,
Status,1st Time PB,1,n/a,,,,,,,1,n/a,
,1st Time Graduate,,,4,-55.6%,5,66.7%,,,9,-25.0%,
,1st Time Transfer,9,-25.0%,,,,,,,9,-25.0%,
,Re Admitted,6,100.0%,,,,,,,6,100.0%,
,Continuing,381,3.0%,177,10.6%,106,-8.6%,,,664,2.8%,
Tuition,Resident Tuition,361,3.1%,60,25.0%,16,-5.9%,,,437,5.3%,
Status,Non-Resident Tuition,21,75.0%,29,31.8%,25,0.0%,,,75,27.1%,
,Tuition Exemption/Waiver,15,-37.5%,92,-7.1%,70,-9.1%,,,177,-11.5%,
Residency,Texas Resident,362,0.8%,60,-10.4%,16,-15.8%,,,438,-1.6%,
Status,"Non-TX, US Resident",29,38.1%,73,7.4%,33,-17.5%,,,135,4.7%,
,"Non-TX, Non-US Resident",6,0.0%,48,45.5%,62,3.3%,,,116,17.2%,
SCH,< 6 SCH,3,-25.0%,34,0.0%,23,-23.3%,,,60,-11.8%,
Categories,6-8 SCH,11,-8.3%,3,-40.0%,2,100.0%,,,16,-11.1%,
,9-11 SCH,17,-10.5%,106,11.6%,84,0.0%,,,207,4.5%,
,12-14 SCH,225,5.1%,30,7.1%,2,-50.0%,,,257,4.5%,
,15-17 SCH,131,-0.8%,3,-40.0%,,,,,134,-2.2%,
,>17 SCH,10,100.0%,5,150.0%,,,,,15,114.3%,
Ft/Pt:,Less Than Half Time,3,0.0%,31,3.3%,22,-24.1%,,,56,-9.7%,
TAMU,Half-Time,11,-8.3%,6,-33.3%,3,50.0%,,,20,-13.0%,
Status,Three-Quarter Time,17,-10.5%,,,,,,,17,-10.5%,
,Full-Time,366,4.0%,144,10.8%,86,-2.3%,,,596,4.6%,
"Prepared by OISP, 06 Mar 01",,,,,,,,,,,,
