Spring 2001,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F,,
Geosciences,ATMO,20,5,3,1,2,1,1,2,1,1,9,3,1,2,30,8,38,
,ESCI,3,11,,,,,,,,,,,,,5,11,16,
,GEOG,95,57,,,13,,,,,,2,3,,,115,66,181,
,GEOL,73,54,,,3,6,2,1,,1,22,10,,2,100,74,174,
,GEOP,17,8,,,,1,,,1,,28,5,,1,46,15,61,
,GEOS,1,2,,,,,,,,,1,,,1,2,3,5,
,METR,74,49,,,4,2,,1,,,4,3,1,1,83,57,140,
,OCNG,26,17,,,,2,1,,,,16,10,2,,45,29,74,
,Subtotal,309,203,3,1,22,12,4,4,2,2,82,34,4,7,426,263,689,
G. Bush School,BUSH,23,21,1,1,2,1,,1,,,1,1,,,27,25,52,
of Govt,Subtotal,23,21,1,1,2,1,,1,,,1,1,,,27,25,52,
Liberal Arts,ANTH,73,107,1,,8,12,2,3,,,5,8,1,4,90,134,224,
,ANTL,,1,,,,,,,,,,,,,,1,1,
,ECOL,,,,,,,,,,,,1,,,,1,1,
,ECON,327,103,3,3,31,10,12,5,3,,64,13,6,3,446,137,583,
,ENGL,151,441,2,9,22,34,1,5,,1,8,12,2,8,186,510,696,
,ENLL,,1,,,,,,,,,,,,,,1,1,
,FREN,2,7,,1,,1,,,,,,,,,2,9,11,
,GERM,2,4,,,,,1,,1,,,,,1,4,5,9,
,HIST,294,158,6,7,40,18,5,5,3,3,,,7,7,355,198,553,
,INTS,61,117,3,5,12,31,1,6,,,2,2,1,2,80,163,243,
,JOUL,,7,,,,1,,,,,,,1,,1,8,9,
,JOUR,169,470,4,17,20,40,7,8,,3,1,,2,10,203,548,751,
,MODL,3,3,,,,4,,,,,1,2,,,4,9,13,
,MOLL,1,,,,1,,,,,,,,,,2,,2,
,PHIL,54,20,,,2,,3,1,,,,,6,,65,21,86,
,POLL,1,,,,,1,,,,,,,,,1,1,2,
,POLS,403,271,6,16,41,36,7,6,2,4,10,3,7,4,476,340,816,
,PSYC,264,794,11,38,35,117,10,36,3,4,5,4,5,25,333,1018,1351,
,PSYL,1,2,,,1,1,,,,,,,,,2,3,5,
,RUSS,4,2,,,,,,,,,,,,1,4,3,7,
,SCOL,1,1,,,,,,,,,,,,,1,1,2,
,SCOM,144,411,9,9,16,43,3,10,2,3,2,1,5,9,181,486,667,
,SOCI,57,145,4,8,13,20,6,3,,1,11,13,,4,91,194,285,
,SOCL,1,,,,,,,,,,,,,,1,,1,
,SPAN,9,39,,,7,17,1,,,,1,,,1,18,57,75,
,STJR,4,4,,,,,,1,,1,2,4,,1,6,11,17,
,THAR,14,26,1,1,6,4,,1,,,,,,,21,32,53,
,Subtotal,2040,3134,50,114,255,390,59,90,14,20,112,63,43,80,2573,3891,6464,
"Prepared by OISP, 06 Mar 01",,,,,,,,,,,,,,,,,,,
