Spring 2001,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Agriculture,ADEV,600,-3.1%,10,150.0%,42,-2.3%,,,610,-2.1%,
,AGBL,195,-19.8%,,,,,,,195,-19.8%,
,AGBU,207,8.4%,38,65.2%,,,,,245,14.5%,
,AGEC,318,5.3%,37,12.1%,,,,,397,5.0%,
,AGED,,,40,48.1%,43,87.0%,,,83,66.0%,
,AGEN,105,-6.3%,29,-27.5%,11,-26.7%,,,145,-13.2%,
,AGJR,71,20.3%,,,,,,,71,20.3%,
,AGLS,258,51.8%,,,,,,,258,51.8%,
,AGRO,127,9.5%,12,-25.0%,15,36.4%,,,154,7.7%,
,AGSC,132,59.0%,,,,,,,132,59.0%,
,AGSM,173,16.1%,2,100.0%,,,,,175,16.7%,
,ANBR,,,,,1,0.0%,,,1,0.0%,
,ANSC,651,-7.7%,50,-10.7%,16,-44.8%,,,717,-9.2%,
,BESC,159,8.2%,,,,,,,159,8.2%,
,BICH,190,-3.1%,38,5.6%,57,18.8%,,,285,1.8%,
,BSEN,27,17.4%,,,,,,,27,17.4%,
,DASC,18,20.0%,,,,,,,18,20.0%,
,ENTO,45,-10.0%,21,-19.2%,26,0.0%,,,92,-9.8%,
,FISC,,,0,-100.0%,,,,,0,-100.0%,
,FLOR,2,-66.7%,,,,,,,2,-66.7%,
,FORS,44,15.8%,3,-57.1%,12,0.0%,,,59,3.5%,
,FSTC,81,-16.5%,32,10.3%,18,50.0%,,,131,-5.1%,
,GENE,213,-2.3%,9,-18.2%,24,-22.6%,,,246,-5.4%,
,HORT,130,1.6%,27,28.6%,8,-27.3%,,,165,3.1%,
,MEPS,,,4,100.0%,6,100.0%,,,10,100.0%,
,NRDV,,,6,0.0%,,,,,6,0.0%,
,NUSC,251,17.8%,,,,,,,251,17.8%,
,NUTR,,,51,4.1%,17,21.4%,,,68,7.9%,
,PLBR,,,12,20.0%,13,8.3%,,,25,13.6%,
,PLPA,,,12,-25.0%,19,-5.0%,,,31,-13.9%,
,POSC,129,8.4%,11,-31.3%,8,60.0%,,,148,5.7%,
,PPHY,,,1,-90.0%,3,-81.3%,,,4,-84.6%,
,PPRO,,,1,100.0%,,,,,1,100.0%,
,PREP,,,12,-29.4%,13,62.5%,,,25,0.0%,
,PSSC,8,-11.1%,,,,,,,8,-11.1%,
,RENR,33,26.9%,,,,,,,33,26.9%,
,RLEM,93,19.2%,28,0.0%,23,9.5%,,,144,13.4%,
,RPTS,310,24.5%,25,78.6%,16,0.0%,,,351,25.8%,
"Prepared by OISP, 06 Mar 01",,,,,,,,,,,,
