Spring 2001,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Architecture,ARCH,56,5.7%,3,0.0%,5,66.7%,6,0.0%,3,200.0%,82,67.3%,1,-50.0%,153,31.9%,
,COMG,13,-23.5%,,,3,50.0%,,,,,16,0.0%,,,32,-8.6%,
,COSC,247,-1.2%,1,-66.7%,20,-37.5%,2,100.0%,,,1,-66.7%,8,60.0%,279,-5.1%,
,COSL,203,2.0%,1,0.0%,29,70.6%,2,100.0%,,,1,100.0%,0,-100.0%,239,6.2%,
,ENDL,312,-7.4%,8,14.3%,28,-33.3%,9,-25.0%,1,-66.7%,3,-25.0%,12,-14.3%,373,-11.0%,
,ENDS,268,7.6%,7,16.7%,46,-4.2%,8,-20.0%,2,100.0%,10,0.0%,6,200.0%,347,6.4%,
,LADE,1,100.0%,,,,,,,,,,,,,1,100.0%,
,LAND,56,-30.9%,,,2,-71.4%,1,100.0%,,,6,50.0%,3,0.0%,68,-28.4%,
,LANL,74,27.6%,,,6,20.0%,2,100.0%,,,2,0.0%,3,0.0%,87,26.1%,
,LDEV,12,-20.0%,0,-100.0%,0,-100.0%,,,,,5,0.0%,,,17,-22.7%,
,URPL,4,-50.0%,1,0.0%,0,-100.0%,,,,,14,55.6%,,,19,0.0%,
,URSC,19,-5.0%,2,100.0%,2,0.0%,,,,,22,29.4%,,,45,12.5%,
,VIZA,34,3.0%,,,3,-25.0%,3,-40.0%,1,100.0%,7,40.0%,,,48,2.1%,
,SubTotal,1299,-1.6%,23,0.0%,144,-12.2%,33,-8.3%,7,40.0%,169,36.3%,33,-5.7%,1708,0.1%,
Business Admin,ACCT,603,-10.0%,13,-13.3%,50,-28.6%,13,44.4%,4,100.0%,20,-9.1%,9,50.0%,712,-10.3%,
,AGBU,6,-14.3%,,,,,,,,,,,,,6,-14.3%,
,BUAD,1811,-13.6%,50,19.0%,139,-14.7%,66,10.0%,13,44.4%,76,5.6%,28,-6.7%,2183,-11.7%,
,BUAG,3,-57.1%,,,,,,,,,2,0.0%,,,5,-44.4%,
,FINC,612,-3.0%,10,-16.7%,48,-12.7%,14,-6.7%,1,-50.0%,27,8.0%,9,0.0%,721,-3.7%,
,INFO,510,-20.1%,10,-64.3%,41,-30.5%,36,-30.8%,3,-25.0%,22,-18.5%,12,-7.7%,634,-22.8%,
,LCEM,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,MGMT,365,-16.9%,6,-45.5%,53,8.2%,9,-25.0%,2,-50.0%,22,-8.3%,8,-20.0%,465,-15.3%,
,MISY,48,11.6%,,,2,-71.4%,3,-40.0%,0,-100.0%,22,10.0%,,,75,-1.3%,
,MKTG,733,12.3%,11,-38.9%,54,0.0%,11,-8.3%,3,-25.0%,20,-16.7%,14,40.0%,846,9.2%,
,MLER,22,-4.3%,,,1,0.0%,,,,,2,-33.3%,,,25,-7.4%,
,SubTotal,4713,-9.5%,100,-20.6%,388,-15.3%,152,-7.9%,26,0.0%,213,-2.7%,80,2.6%,5672,-9.7%,
Education,CPSY,38,-5.0%,1,0.0%,5,-44.4%,2,100.0%,,,1,100.0%,1,0.0%,48,-7.7%,
,EDAD,219,-0.5%,35,-5.4%,34,-8.1%,3,0.0%,1,0.0%,7,600.0%,3,200.0%,302,0.7%,
,EDCI,112,6.7%,48,45.5%,22,15.8%,2,-33.3%,,,17,-10.5%,2,-33.3%,203,11.5%,
,EDHL,198,7.6%,10,42.9%,26,8.3%,4,33.3%,1,0.0%,,,2,0.0%,241,9.0%,
,EDIS,885,25.5%,10,100.0%,49,-2.0%,7,16.7%,8,60.0%,0,-100.0%,12,20.0%,971,24.2%,
,EDIT,4,100.0%,,,1,100.0%,,,,,,,,,5,150.0%,
,EDKI,534,15.8%,15,0.0%,52,36.8%,3,0.0%,2,-33.3%,4,300.0%,11,83.3%,621,17.8%,
,EDTC,32,-8.6%,,,1,100.0%,0,-100.0%,0,-100.0%,6,-33.3%,0,-100.0%,39,-17.0%,
,EHRD,135,1.5%,8,-27.3%,22,29.4%,,,2,0.0%,15,36.4%,4,33.3%,186,5.1%,
,EPSY,125,34.4%,10,42.9%,25,127.3%,2,100.0%,2,0.0%,12,100.0%,1,100.0%,177,47.5%,
,HEED,13,-27.8%,1,0.0%,0,-100.0%,0,-100.0%,,,,,,,14,-33.3%,
,HLTH,94,-28.8%,6,-33.3%,14,-41.7%,4,0.0%,0,-100.0%,,,2,100.0%,120,-30.2%,
,IDTC,1,-50.0%,,,,,,,,,,,,,1,-50.0%,
,INST,498,-10.9%,5,-16.7%,35,-27.1%,4,33.3%,1,-50.0%,1,0.0%,5,150.0%,549,-11.6%,
,KINE,279,-3.5%,5,25.0%,21,-30.0%,1,100.0%,2,100.0%,6,20.0%,4,100.0%,318,-3.9%,
,PHED,12,0.0%,,,3,0.0%,1,0.0%,,,,,0,-100.0%,16,-5.9%,
,SPSY,23,4.5%,5,0.0%,17,-5.6%,,,,,1,-66.7%,1,0.0%,47,-4.1%,
,TECR,35,-18.6%,0,-100.0%,6,50.0%,0,-100.0%,0,-100.0%,,,1,100.0%,42,-20.8%,
,SubTotal,3237,6.0%,159,11.2%,333,0.0%,33,0.0%,19,-9.5%,70,22.8%,49,44.1%,3900,6.1%,
"Prepared by OISP, 06 Mar 01",,,,,,,,,,,,,,,,,,
