"Spring 2001
Science                    APMS BIOL BMCB BOTN CHEM GENE MATH MBIO PHYS PPHY STAT TOXI ZOOL
SubTotal
Veterinary                BIML
Medicine                 BIMS EPID GENE LAMD TOXI VMSC VPAR VPAT VPHY VTAN VTMD VTMI VTMS
SubTotal
Distance                  EDTC
Education                ENSM INEN LCEM PETE
SubTotal
General Studies       GEST
GSEN
SubTotal
Exchange                 REEP
SubTotal
Total",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
,85,-17.5%,2,0.0%,5,-66.7%,1,-50.0%,,,1,0.0%,1,-50.0%,95,-24.0%,
,508,7.4%,30,0.0%,104,6.1%,62,14.8%,0,-100.0%,16,-23.8%,17,13.3%,737,6.5%,
,80,-4.8%,3,0.0%,11,22.2%,14,7.7%,,,4,100.0%,2,0.0%,114,0.9%,
,4,-42.9%,,,1,0.0%,0,-100.0%,1,100.0%,2,100.0%,,,8,-20.0%,
,249,8.7%,13,18.2%,20,-28.6%,17,-5.6%,1,0.0%,89,9.9%,5,0.0%,394,5.6%,
,2,100.0%,,,,,,,,,1,0.0%,,,3,200.0%,
,180,14.6%,3,-57.1%,14,16.7%,8,0.0%,,,55,10.0%,7,75.0%,267,12.2%,
,136,-6.8%,3,-50.0%,23,4.5%,11,0.0%,0,-100.0%,12,71.4%,7,16.7%,192,-3.5%,
,82,3.8%,1,0.0%,6,-14.3%,3,50.0%,,,69,-2.8%,4,33.3%,165,1.2%,
,1,-50.0%,,,,,,,,,1,100.0%,,,2,0.0%,
,21,0.0%,1,0.0%,2,100.0%,3,50.0%,,,57,26.7%,,,84,21.7%,
,,,,,,,1,0.0%,,,,,,,1,0.0%,
,144,-10.0%,1,-50.0%,13,-13.3%,5,-16.7%,1,100.0%,2,-50.0%,3,0.0%,169,-11.1%,
,1492,2.1%,57,-9.5%,199,-3.9%,125,5.9%,3,0.0%,309,8.8%,46,15.0%,2231,2.5%,
,785,45.9%,23,35.3%,117,56.0%,51,70.0%,5,0.0%,2,0.0%,19,90.0%,1002,48.0%,
,738,-28.1%,29,-43.1%,89,-28.2%,51,-12.1%,6,-14.3%,9,200.0%,16,-11.1%,938,-27.1%,
,2,0.0%,,,,,,,,,1,100.0%,,,3,50.0%,
,12,9.1%,,,,,,,,,1,100.0%,1,100.0%,14,27.3%,
,,,,,1,100.0%,,,,,,,,,1,100.0%,
,20,-13.0%,1,100.0%,2,-33.3%,2,0.0%,,,11,10.0%,,,36,-5.3%,
,1,0.0%,,,,,,,,,,,,,1,0.0%,
,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,6,-14.3%,1,0.0%,1,0.0%,,,,,3,0.0%,,,11,-8.3%,
,8,-42.9%,,,1,-50.0%,1,100.0%,,,4,0.0%,,,14,-30.0%,
,7,-12.5%,,,,,,,,,4,0.0%,,,11,-8.3%,
,449,0.2%,,,24,14.3%,18,0.0%,4,0.0%,,,6,200.0%,501,1.6%,
,23,9.5%,1,0.0%,3,50.0%,1,0.0%,,,9,-30.8%,,,37,-2.6%,
,4,33.3%,,,,,,,,,,,,,4,33.3%,
,2055,-2.3%,55,-21.4%,238,4.4%,124,13.8%,15,-6.3%,44,12.8%,42,40.0%,2573,-0.8%,
,0,-100.0%,0,-100.0%,,,,,,,,,1,100.0%,1,-50.0%,
,1,100.0%,,,,,,,,,,,,,1,100.0%,
,1,100.0%,,,,,,,,,,,,,1,100.0%,
,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,2,-33.3%,0,-100.0%,,,,,,,,,1,100.0%,3,-25.0%,
,2383,6.1%,100,-5.7%,273,3.8%,82,6.5%,17,30.8%,18,50.0%,38,18.8%,2911,5.9%,
,0,-100.0%,,,0,-100.0%,,,,,,,,,0,-100.0%,
,2383,5.7%,100,-5.7%,273,3.4%,82,6.5%,17,30.8%,18,50.0%,38,18.8%,2911,5.5%,
,,,,,,,,,,,25,100.0%,,,25,100.0%,
,,,,,,,,,,,25,100.0%,,,25,100.0%,
,31423,0.4%,986,-6.7%,3374,-1.0%,1304,3.2%,178,1.7%,3165,11.5%,664,16.5%,41094,1.2%,
"Prepared by OISP, 06 Mar 01",,,,,,,,,,,,,,,,,
