Top 10,,,,,,,,,
Spring 2001 Feeder Patterns Main Campus,,,,,,,,,
Texas County   Students  % Total,,,,,,,,,
Harris,,6570,,,16.0%,,,,
Brazos,,2413,,,5.9%,,,,
Dallas,,2320,,,5.6%,,,,
Tarrant,,2088,,,5.1%,,,,
Bexar,,2053,,,5.0%,,,,
Fort Bend,,1092,,,2.7%,,,,
Montgomery,,1042,,,2.5%,,,,
Collin,,991,,,2.4%,,,,
Travis,,979,,,2.4%,,,,
Denton,,629,,,1.5%,,,,
State,Students  % Total,,,,,,,,
Texas,35388,,,86.1%,,,,,
Louisiana,398,,,1.0%,,,,,
California,236,,,0.6%,,,,,
Oklahoma,111,,,0.3%,,,,,
New Mexico,105,,,0.3%,,,,,
Florida,100,,,0.2%,,,,,
Illinois,100,,,0.2%,,,,,
Arkansas,100,,,0.2%,,,,,
New York,81,,,0.2%,,,,,
Ohio,74,,,0.2%,,,,,
Country,,,Students  % Total,,,,,,
United States,,,37902,,,,92.2%,,
India,,,592,,,,1.4%,,
"Korea, Republic of",,,542,,,,1.3%,,
"China, People's Rep of",,,534,,,,1.3%,,
Mexico,,,138,,,,0.3%,,
Taiwan,,,97,,,,0.2%,,
Indonesia,,,91,,,,0.2%,,
Turkey,,,86,,,,0.2%,,
Thailand,,,60,,,,0.1%,,
Canada,,,46,,,,0.1%,,
