Headcount by College by Ethnic Origin by Gender,,,,,,,,,,,,,,,,,,,
Spring 2001,,,,,,,,,,,,,,,,,,,
"Spring 2001
Agriculture Architecture Business Admin Education Engineering Geosciences
G. Bush School of Govt Liberal Arts
Science
Veterinary Medicine Distance Education General Studies Exchange
GRAND Total",International,,Black,,Am. Indian,,,Asian,,Hispanic,,White,,Other,,Total,,"Total
6012
1708
5672
3900
8854
689
52
6464
2231
2573
3
2911
25
41094",
,M,F,M,F,M,F,,M,F,M,F,M,F,M,F,M,F,,
,236,133,63,46,12,,9,48,47,200,179,2590,2338,58,53,3207,2805,,
,99,70,13,10,7,,,19,14,99,45,901,398,22,11,1160,548,,
,127,86,33,67,16,,10,63,89,179,209,2328,2385,43,37,2789,2883,,
,19,51,42,117,3,,16,6,27,100,233,696,2541,20,29,886,3014,,
,1384,271,102,111,31,,1,375,127,563,175,4580,1004,92,38,7127,1727,,
,82,34,3,1,2,,2,4,4,22,12,309,203,4,7,426,263,,
,1,1,1,1,,,,,1,2,1,23,21,,,27,25,,
,112,63,50,114,14,,20,59,90,255,390,2040,3134,43,80,2573,3891,,
,211,98,19,38,3,,,61,64,95,104,654,838,22,24,1065,1166,,
,18,26,14,41,7,,8,46,78,76,162,699,1356,17,25,877,1696,,
,,,,,,,,,,,,2,,,1,2,1,,
,8,10,57,43,7,,10,45,37,131,142,1266,1117,20,18,1534,1377,,
,18,7,,,,,,,,,,,,,,18,7,,
,2315,850,397,589,102,,76,726,578,1722,1652,16088,15335,341,323,21691,19403,,
"Prepared by OISP, 06 Mar 01",,,,,,,,,,,,,,,,,,,
