"Spring 2001
Geosciences            ATMO GEOG GEOL GEPL OCNG
Subtotal
G. Bush School       BUSH  of Govt                    Subtotal
Liberal Arts             ANTH CLLA ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SCOM SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VAPH VLAM VSAM VTPB VTPP
Subtotal
Distance                  EPSY
Education                INEN
Subtotal
General Studies       GEST
Subtotal
Exchange                 SABX
Subtotal
University                Total",Undergraduate,,,,,Masters,,,,PhD,,,,,Professional,,Total,
,"1st Time in College
1
3
2
1
5
3
1
16
6
1
7
7
7
22
22
89","1st Time PB
1
1
2
2
6
6
29","1st Time Transfer
4
3
2
9
5
5
27
18
13
17
5
1
33
1
34
21
8
188
22
3
3
3
31
16
16
62
62
827","Re Admitted
5
1
6
2
1
7
6
2
6
1
1
5
8
4
2
45
3
1
4
5
5
18
18
253","Contin uing
120
136
19
106
381
100
236
466
552
470
735
99
56
732
52
1216
611
214
5539
1098
173
266
62
1599
1897
1897
2809
2809
21
21
32561",1st Time Graduate,,Re Admitted,Contin uing,1st Time Graduate,,Re Admitted,,Contin uing,Continuing,,,
,,,,,,,3,3,39,,2,,1,14,,501,178,
,,,,,,,,,20,,,,,18,,,182,
,,,,,,,,,,,,,,,,,20,
,,,,,,,,,75,,,,,45,,,233,
,,,,,,,1,,43,,3,,,29,,,76,
,,,,,,,4,,177,,5,,,106,,,689,
,,,,,,,,,52,,,,,,,,52,
,,,,,,,,,52,,,,,,,,52,
,,,,,,,1,,79,,1,,,37,,,225,
,,,,,,,,,,,,,,,,,243,
,,,,,,,,,23,,,,,61,,,584,
,,,,,,,2,,40,,2,,,74,,,697,
,,,,,,,1,,23,,,,,42,,,553,
,,,,,,,2,,16,,,,,,,,777,
,,,,,,,1,,11,,,,,,,,117,
,,,,,,,,,28,,,,,,,,86,
,,,,,,,,,8,,,,,35,,,818,
,,,,,,,,,,,,,,,,,53,
,,,,,,,,,34,,,,,61,,,1356,
,,,,,,,1,,15,,,,,17,,,669,
,,,,,,,,,27,,1,,,32,,,286,
,,,,,,,8,,304,,4,,1,359,,,6464,
,,,,,,,1,,35,,,,,58,,,1225,
,,,,,,,3,,95,,1,,,120,,,395,
,,,,,,,3,,37,,,,,52,,,362,
,,,,,,,4,,27,,2,,,66,,,165,
,,,,,,,3,,28,,1,,,52,,,84,
,,,,,,,14,,222,,4,,,348,,,2231,
,,,,,,,,,9,,,,,,,,2441,
,,,,,,,1,,4,,,,,26,,,31,
,,,,,,,,,4,,,,,,,,4,
,,,,,,,,,2,,,,,,,,2,
,,,,,,,2,,19,,1,,,34,,,56,
,,,,,,,2,,9,,,,,28,,,39,
,,,,,,,5,,47,,1,,,88,,501,2573,
,,,,,,,,,1,,,,,,,,1,
,,,,,,,1,,1,,,,,,,,2,
,,,,,,,1,,2,,,,,,,,3,
,,,,,,,,,,,,,,,,,2911,
,,,,,,,,,,,,,,,,,2911,
,,,,,,,,,4,,,,,,,,25,
,,,,,,,,,4,,,,,,,,25,
,,,,,,238,,,3704,76,,4,,2809,501,,41094,
"Prepared by OISP, 06 Mar 01",,,,,,,,,,,,,,,,,,
