"Fall 2004
Agriculture              AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC NFSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture    ARCH COSC LAUP
Subtotal
Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education        CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST JOUR PHUM POLS PRFM PSYC SOCI
Subtotal",White,,Black,,,Hispanic,,,Asian,,,American Indian,,,International,,Unknown/Other,,,Total,,"Total
641
1087
1297
365
495
291
129
79
186
41
196
229
224
326
229
584
6399
813
669
297
1779
781
1921
765
293
450
642
4852
236
496
328
1682
2421
5163
614
377
603
61
1028
1354
1332
853
444
1397
266
452
8781
187
187
210
32
217
219
73
751
227
416
835
678
765
29
123
719
155
152
1049
114
1390
380
7032",
,Female,Male,Female,Ma,le,Female,Ma,le,Female,Ma,le,Female,Ma,le,Female,Male,Female,Ma,le,Female,Male,,
,185,338,,,1,13,,17,2,,2,1,,3,24,54,1,,,226,415,,
,463,488,10,,22,33,,31,4,,5,8,,7,5,4,3,,4,526,561,,
,771,338,9,,7,76,,27,17,,5,4,,2,17,16,5,,3,899,398,,
,31,271,5,,1,3,,12,2,,4,,,3,9,20,1,,3,51,314,,
,179,137,7,,3,19,,28,19,,17,,,1,47,34,,,4,271,224,,
,76,108,9,,27,20,,40,1,,2,3,,,1,2,1,,1,111,180,,
,43,49,1,,,9,,9,1,,2,,,,5,8,1,,1,60,69,,
,8,53,1,,1,,,3,,,1,,,1,2,7,2,,,13,66,,
,102,53,2,,,2,,2,2,,3,,,,9,9,2,,,119,67,,
,16,14,,,1,3,,1,,,1,,,1,4,,,,,23,18,,
,66,60,8,,2,13,,15,4,,5,1,,2,5,12,1,,2,98,98,,
,60,123,,,1,3,,15,,,2,,,,8,14,,,3,71,158,,
,41,145,1,,1,2,,6,3,,1,,,2,6,11,1,,4,54,170,,
,131,139,1,,,7,,13,1,,1,,,2,17,12,2,,,159,167,,
,16,156,,,4,1,,3,,,,,,,15,30,1,,3,33,196,,
,175,303,7,,1,26,,28,3,,2,2,,1,14,12,4,,6,231,353,,
,"2,363","2,775",61,,72,230,,250,59,,53,19,,25,188,245,25,,34,"2,945","3,454",,
,262,308,4,,5,35,,46,19,,17,1,,2,43,63,4,,4,368,445,,
,59,489,3,,3,9,,39,2,,7,,,3,16,34,,,5,89,580,,
,75,105,1,,4,6,,13,1,,2,,,2,35,49,1,,3,119,178,,
,396,902,8,,12,50,,98,22,,26,1,,7,94,146,5,,12,576,"1,203",,
,406,273,7,,4,30,,9,19,,13,,,1,10,6,3,,,475,306,,
,864,764,18,,18,71,,59,26,,43,3,,4,14,30,2,,5,998,923,,
,241,425,9,,4,9,,26,13,,14,,,1,4,11,4,,4,280,485,,
,58,113,5,,3,6,,8,4,,5,1,,2,33,54,,,1,107,186,,
,184,175,11,,3,26,,12,11,,7,,,2,9,6,1,,3,242,208,,
,386,172,7,,3,25,,14,4,,4,3,,1,6,11,5,,1,436,206,,
,"2,139","1,922",57,,35,167,,128,77,,86,7,,11,76,118,15,,14,"2,538","2,314",,
,109,79,5,,3,18,,11,1,,7,,,1,1,1,,,,134,102,,
,192,115,36,,18,58,,34,1,,3,1,,,24,2,7,,5,319,177,,
,178,39,17,,4,38,,10,5,,,,,,28,7,2,,,268,60,,
,890,526,36,,25,77,,58,11,,15,3,,5,8,18,3,,7,"1,028",654,,
,"1,981",104,58,,11,174,,19,15,,2,12,,,36,2,7,,,"2,283",138,,
,"3,350",863,152,,61,365,,132,33,,27,16,,6,97,30,19,,12,"4,032","1,131",,
,72,381,,,6,11,,51,3,,15,,,,4,68,,,3,90,524,,
,114,122,4,,6,17,,28,12,,21,2,,2,15,31,1,,2,165,212,,
,121,260,5,,5,31,,25,15,,17,,,1,36,84,,,3,208,395,,
,11,24,4,,1,3,,5,,,,,,,1,11,,,1,19,42,,
,57,562,9,,19,9,,64,10,,38,,,,59,194,1,,6,145,883,,
,185,731,7,,15,24,,97,8,,25,1,,4,41,205,4,,7,270,"1,084",,
,59,642,6,,22,15,,100,19,,68,,,4,63,329,1,,4,163,"1,169",,
,111,583,10,,11,17,,52,6,,36,1,,3,1,13,1,,8,147,706,,
,51,112,13,,5,13,,48,10,,13,,,,26,151,1,,1,114,330,,
,112,849,9,,13,12,,88,3,,22,,,5,12,263,1,,8,149,"1,248",,
,36,145,1,,1,3,,22,4,,10,,,2,11,27,1,,3,56,210,,
,47,197,5,,7,7,,28,,,14,,,2,31,111,,,3,90,362,,
,976,"4,608",73,,111,162,,608,90,,279,4,,23,300,"1,487",11,,49,"1,616","7,165",,
,51,87,5,,3,10,,9,3,,2,,,1,7,6,1,,2,77,110,,
,51,87,5,,3,10,,9,3,,2,,,1,7,6,1,,2,77,110,,
,68,99,1,,,6,,7,,,2,,,1,8,16,1,,1,84,126,,
,15,11,,,,3,,,2,,1,,,,,,,,,20,12,,
,56,108,2,,1,8,,15,,,2,,,,6,16,1,,2,73,144,,
,54,101,,,1,4,,4,2,,1,,,1,12,36,2,,1,74,145,,
,23,22,,,,2,,1,,,,,,,12,13,,,,37,36,,
,216,341,3,,2,23,,27,4,,6,,,2,38,81,4,,4,288,463,,
,109,77,,,,10,,8,2,,1,,,1,7,8,1,,3,129,98,,
,224,78,7,,3,49,,29,7,,3,4,,,4,4,3,,1,298,118,,
,538,189,11,,,48,,18,6,,5,3,,1,7,3,3,,3,616,219,,
,91,366,5,,8,18,,58,8,,19,1,,1,34,62,1,,6,158,520,,
,508,137,13,,8,37,,12,8,,2,6,,,16,10,6,,2,594,171,,
,13,7,,,1,5,,,1,,1,,,,,,1,,,20,9,,
,51,24,1,,,23,,22,,,,,,,2,,,,,77,46,,
,232,405,5,,2,10,,41,3,,2,1,,1,2,2,3,,10,256,463,,
,100,29,4,,,11,,1,2,,,,,,5,1,2,,,124,31,,
,28,88,2,,,6,,15,2,,3,,,,,5,1,,2,39,113,,
,344,514,22,,8,41,,67,6,,18,2,,3,5,14,1,,4,421,628,,
,66,27,2,,2,10,,7,,,,,,,,,,,,78,36,,
,829,268,46,,12,117,,49,25,,8,6,,2,11,8,7,,2,"1,041",349,,
,184,93,15,,7,31,,18,7,,3,1,,1,11,6,2,,1,251,129,,
,"3,317","2,302",133,,51,416,,345,77,,65,24,,10,104,123,31,,34,"4,102","2,930",,
"Prepared by OISP, 06 Dec 04",,,,,,,,,,,,,,,,,,,,,,,
