"Fall 2004
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST JOUR PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies       GEST
Subtotal Other - Special        CLMD Populations             COFD
MARS SABX SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
3
1
1
1
6
1
12
2
28
24
4
3
31
18
18
83
83
252","Sophomore
1
1
3
4
1
3
8
2
11
32
13
2
1
16
8
8
45
45
161","Junior
1
3
5
7
1
1
2
1
8
16
5
50
7
2
1
10
6
6
5
5
220","Senior
2
2
5
6
7
4
1
6
1
15
8
53
8
1
1
10
6
6
203",PB,"Total
3
3
10
10
13
17
1
1
5
3
2
28
4
54
15
163
52
9
5
1
67
38
38
133
133
836",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,1,1,4,4,1,
,,,,,,,,,,,,,,3,
,,,,,,,,1,1,,,,,1,
,,,,,,,,2,2,,,,,5,
,,,,,,,,,,,,,,10,
,,,,,,,,,1,,,,,11,
,,,,,,,,,,,,,,13,
,,,,,,,,3,3,,,,,21,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,2,2,,,7,
,,,,,,,,1,1,,,,,4,
,,,,,,,,,,,,,,2,
,,,,,,,,2,2,,,,,30,
,,,,,,,,,,,,,,4,
,,,,,,,,2,2,2,2,,,58,
,,,,,,,1,4,5,2,2,,,22,
,,,,,,,2,12,14,7,7,,,184,
,,,,,,,,1,1,,,,,53,
,,,,,,,,,,4,4,,,13,
,,,,,,,,2,2,,,,,7,
,,,,,,,,1,1,,,,,2,
,,,,,,,3,,3,,,,,3,
,,,,,,,3,4,7,4,4,,,78,
,,,,,,,,,,,,,,42,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,1,1,4,4,43,
,,,,,,,,,,,,,,133,
,,,,,,,,,,,,,,133,
,,,,,,,1,,1,,,,,1,
,,,,,,,1,,1,,,,,1,
,,,,,,,18,110,128,126,126,4,4,"1,094",
"Prepared by OISP, 06 Dec 04",,,,,,,,,,,,,,,
