Fall 2004,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Architecture,ARCH,33,46,1,1,1,9,3,5,1,2,34,51,1,3,73,114,187,
,COMG,9,17,1,,,1,,2,,,16,32,,1,26,53,79,
,COSC,28,271,1,,4,19,1,2,,,,2,,1,34,298,332,
,COSL,22,201,1,2,5,19,1,3,,1,,,,3,29,229,258,
,ENDL,117,122,,4,13,14,9,7,,2,4,2,1,,144,151,295,
,ENDS,98,111,3,1,17,19,4,3,,,,1,2,,125,135,260,
,LAND,37,37,,1,3,7,,1,,2,15,3,1,1,56,52,108,
,LANL,26,36,,1,1,4,1,1,,,,,,,28,42,70,
,LDEV,2,15,,,1,,,,,,3,8,,,6,23,29,
,URPL,7,9,,2,1,2,,,,,7,10,,1,15,24,39,
,URSC,3,8,1,,,,,,,,10,28,,1,14,37,51,
,VIZA,14,29,,,4,4,3,2,,,5,9,,1,26,45,71,
,Subtotal,396,902,8,12,50,98,22,26,1,7,94,146,5,12,576,"1,203",1779,
Business,ACCT,406,273,7,4,30,9,19,13,,1,10,6,3,,475,306,781,
Admin,AGBU,1,5,,,,1,,,,,,,,,1,6,7,
,BUAD,855,754,18,18,70,58,26,43,3,4,14,30,2,5,988,912,1900,
,BUAG,8,5,,,1,,,,,,,,,,9,5,14,
,FINC,221,378,8,3,9,22,13,14,,1,4,10,3,4,258,432,690,
,INFO,45,91,4,2,6,7,2,5,1,2,8,6,,1,66,114,180,
,MGMT,184,175,11,3,26,12,11,7,,2,9,6,1,3,242,208,450,
,MISY,13,22,1,1,,1,2,,,,25,48,,,41,72,113,
,MKTG,386,172,7,3,25,14,4,4,3,1,6,11,5,1,436,206,642,
,MLER,20,47,1,1,,4,,,,,,1,1,,22,53,75,
,Subtotal,"2,139","1,922",57,35,167,128,77,86,7,11,76,118,15,14,"2,538","2,314",4852,
Education,CPSY,18,12,3,2,2,2,1,,,,3,,1,,28,16,44,
,EDAD,133,83,24,13,39,19,,,1,,8,,4,3,209,118,327,
,EDCI,197,35,35,8,26,8,5,,1,,31,2,3,,298,53,351,
,EDHL,167,18,9,2,10,4,1,3,,,1,,,,188,27,215,
,EDIS,893,38,12,1,88,5,5,2,2,,3,,,,"1,003",46,1049,
,EDKI,424,326,17,18,41,36,7,8,1,4,1,3,,1,491,396,887,
,EDTC,20,9,1,,2,1,,,,,6,,,,29,10,39,
,EHRD,59,32,12,5,19,15,1,3,,,16,2,3,2,110,59,169,
,EPSY,118,17,7,2,30,3,1,,,,18,7,,,174,29,203,
,HEED,15,6,5,1,1,,,,,,1,1,1,,23,8,31,
,HLTH,92,9,2,2,9,2,,,1,,,,2,,106,13,119,
,INST,877,26,11,2,59,6,5,,8,,2,,4,,966,34,1000,
,ISNC,109,79,5,3,18,11,1,7,,1,1,1,,,134,102,236,
,KINE,190,164,3,2,15,14,3,4,1,1,4,13,,6,216,204,420,
,PHED,2,3,,,1,2,,,,,1,1,,,4,6,10,
,SPSY,22,1,6,,4,4,3,,,,1,,1,,37,5,42,
,TECR,14,5,,,1,,,,1,,,,,,16,5,21,
,Subtotal,"3,350",863,152,61,365,132,33,27,16,6,97,30,19,12,"4,032","1,131",5163,
"Prepared by OISP, 06 Dec 04",,,,,,,,,,,,,,,,,,,
