"Fall 2004
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST JOUR PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies       GEST
Subtotal Other - Special        CLMD Populations             COFD
MARS SABX SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
1
2
2
7
3
1
4
6
6
13
13
46","Sophomore
1
1
2
4
2
2
2
2
7
7
26","Junior
1
1
2
1
1
1
4
1
1
11
4
4
2
2
59","Senior
1
2
1
1
1
1
2
9
1
1
2
5
5
58","PB
1
1
4","Total
1
1
1
4
4
2
5
2
5
7
1
31
10
1
1
12
16
16
20
20
193",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,1,1,1,1,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,1,1,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,2,
,,,,,,,,,,1,1,,,6,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,8,
,,,,,,,,,,1,1,,,2,
,,,,,,,,1,1,2,2,,,34,
,,,,,,,,,,1,1,,,11,
,,,,,,,,1,1,1,1,,,3,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,2,2,,,15,
,,,,,,,,,,,,,,17,
,,,,,,,,,,,,1,1,17,
,,,,,,,,,,,,,,20,
,,,,,,,,,,,,,,20,
,,,,,,,,6,7,7,7,1,1,208,
"Prepared by OISP, 06 Dec 04",,,,,,,,,,,,,,,
