Texas A&M University,,,,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,,,,
Headcount by Level by Ethnic Origin by Gender,,,,,,,,,,,,
Fall 2004,,,,,,,,,,,,
Enrollment Profile – Fall 2004 Official Certified 12th Class Day Data,,,,,,,,,,,,
Fall 2004,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Female,White,"14,500",-1.6%,"1,235",-2.3%,610,2.0%,336,4.0%,"16,681",-1.4%,
,Black,466,-1.1%,78,34.5%,86,17.8%,2,100.0%,632,5.0%,
,Hispanic,"1,747",7.2%,163,25.4%,101,27.8%,22,-18.5%,"2,033",8.9%,
,Asian,519,2.8%,52,15.6%,31,3.3%,10,25.0%,612,4.1%,
,American Indian,90,9.8%,5,0.0%,2,-50.0%,0,-100.0%,97,5.4%,
,International,164,-1.8%,474,-6.9%,437,7.4%,,,"1,075",-0.7%,
,Unknown/Other,83,-33.1%,38,18.8%,14,40.0%,4,-33.3%,139,-19.2%,
,Subtotal,"17,569",-0.8%,"2,045",0.1%,"1,281",6.7%,374,2.5%,"21,269",-0.2%,
Male,White,"14,697",-1.9%,"1,473",-0.9%,664,-5.3%,123,-1.6%,"16,957",-2.0%,
,Black,370,-3.4%,50,31.6%,40,48.1%,2,100.0%,462,2.9%,
,Hispanic,"1,857",7.1%,166,13.7%,83,15.3%,7,0.0%,"2,113",7.9%,
,Asian,646,4.0%,77,5.5%,30,11.1%,3,50.0%,756,4.6%,
,American Indian,103,6.2%,2,0.0%,5,-28.6%,1,0.0%,111,3.7%,
,International,371,5.1%,"1,036",-12.1%,"1,175",0.2%,,,"2,582",-4.5%,
,Unknown/Other,119,-35.0%,40,-13.0%,25,19.0%,1,-66.7%,185,-26.9%,
,Subtotal,"18,163",-1.1%,"2,844",-4.3%,"2,022",-0.3%,137,-1.4%,"23,166",-1.4%,
Grand Total,,"35,732",-0.9%,"4,889",-2.5%,"3,303",2.3%,511,1.4%,"44,435",-0.8%,
"Prepared by OISP, 06 Dec 04",,,,,,,,,,,,
