Top 10,,,,,,,,
Fall 2004  Feeder Patterns New Graduate,,,,,,,,
Country,,,Students  % Total,,,,,
United States,,,1450,,,67.4%,,
India,,,175,,,8.1%,,
"China, People's Rep of",,,128,,,6.0%,,
"Korea, Republic of",,,105,,,4.9%,,
Taiwan,,,29,,,1.3%,,
Turkey,,,21,,,1.0%,,
Colombia,,,19,,,0.9%,,
Mexico,,,19,,,0.9%,,
France,,,14,,,0.7%,,
Canada,,,12,,,0.6%,,
State,Students  % Total,,,,,,,
Texas,1120,,,52.1%,,,,
Louisiana,23,,,1.1%,,,,
California,23,,,1.1%,,,,
New York,15,,,0.7%,,,,
New Mexico,13,,,0.6%,,,,
Florida,13,,,0.6%,,,,
Colorado,12,,,0.6%,,,,
Tennessee,12,,,0.6%,,,,
Utah,12,,,0.6%,,,,
Pennsylvania,11,,,0.5%,,,,
Texas County   Students  % Total,,,,,,,,
Harris,,235,,,10.9%,,,
Brazos,,158,,,7.3%,,,
Bexar,,64,,,3.0%,,,
Tarrant,,61,,,2.8%,,,
Dallas,,52,,,2.4%,,,
Travis,,42,,,2.0%,,,
Fort Bend,,35,,,1.6%,,,
Montgomery,,25,,,1.2%,,,
Collin,,21,,,1.0%,,,
Webb,,19,,,0.9%,,,
