"Fall 2004
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST JOUR PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies       GEST
Subtotal Other - Special        CLMD Populations             COFD
MARS SABX SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
41
6
9
13
69
14
52
90
36
77
5
13
95
1
9
141
19
143
26
721
322
50
64
23
459
498
498
1,857
1,857
6,751","Sophomore
33
8
10
19
70
11
80
134
54
94
2
13
110
8
16
174
19
192
34
941
232
38
48
16
334
360
360
1,131
1,131
6,166","Junior
26
8
51
28
113
34
82
237
146
187
2
23
159
29
37
249
25
343
86
1,639
212
45
63
21
341
335
335
155
155
7,346","Senior
32
4
70
37
143
40
87
229
193
210
10
18
211
84
33
248
30
364
96
1,853
215
45
80
25
365
329
329
2
2
8,878","PB
1
3
4
1
1
1
1
56","Total
133
26
140
100
399
99
301
690
429
568
20
67
575
122
95
812
93
1,042
242
5,155
981
178
256
85
1,500
1,522
1,522
3,145
3,145
29,197",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,27,27,7,7,459,459,167,
,,,,,,,,,,,,,,26,
,,,,,,,,15,16,8,8,,,164,
,,,,,,,1,41,42,13,13,,,155,
,,,,,,,1,29,30,15,15,,,45,
,,,,,,,3,112,115,43,43,,,557,
,,,,,,,3,57,60,27,27,,,186,
,,,,,,,,1,1,,,,,302,
,,,,,,,1,11,12,25,25,,,727,
,,,,,,,,17,17,11,11,,,457,
,,,,,,,3,29,32,45,45,,,645,
,,,,,,,,,,,,,,20,
,,,,,,,2,4,6,2,2,,,75,
,,,,,,,2,25,27,35,35,,,637,
,,,,,,,,7,7,,,,,129,
,,,,,,,1,16,17,4,4,,,116,
,,,,,,,,8,8,38,38,,,858,
,,,,,,,,,,,,,,93,
,,,,,,,,17,17,38,38,,,"1,097",
,,,,,,,,15,15,20,20,,,277,
,,,,,,,12,207,219,245,245,,,"5,619",
,,,,,,,1,20,21,35,35,,,"1,037",
,,,,,,,1,56,57,50,50,,,285,
,,,,,,,7,53,60,16,16,,,332,
,,,,,,,1,15,16,14,14,,,115,
,,,,,,,6,16,22,8,8,,,30,
,,,,,,,16,160,176,123,123,,,"1,799",
,,,,,,,,,,,,,,"1,981",
,,,,,,,1,12,13,14,14,,,27,
,,,,,,,,2,2,,,,,2,
,,,,,,,,2,2,,,,,2,
,,,,,,,1,20,21,19,19,,,40,
,,,,,,,,5,5,2,2,,,7,
,,,,,,,2,41,43,35,35,459,459,"2,059",
,,,,,,,,,,,,,,"3,145",
,,,,,,,,,,,,,,"3,145",
,,,,,,,4,,4,,,,,4,
,,,,,,,,8,8,1,1,,,9,
,,,,,,,,1,1,,,,,1,
,,,,,,,13,,13,,,,,13,
,,,,,,,17,9,26,1,1,,,27,
,,,,,,,237,"2,471","2,708","1,274","1,274",459,459,"33,638",
"Prepared by OISP, 06 Dec 04",,,,,,,,,,,,,,,
