"Fall 2004
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST JOUR PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies       GEST
Subtotal Other - Special        CLMD Populations             COFD
MARS SABX SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
2
1
1
4
4
12","Sophomore
1
1
1
1
6
6
18","Junior
1
1
2
1
1
1
1
1
1
3
2
11
2
1
1
4
3
3
53","Senior
1
1
2
3
4
4
4
1
6
1
2
4
1
30
2
1
3
9
9
119",PB,"Total
2
2
4
4
5
6
5
1
8
2
3
7
3
44
5
1
2
1
9
12
12
10
10
202",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,2,2,1,1,5,5,2,
,,,,,,,,,,,,,,3,
,,,,,,,,1,1,,,,,3,
,,,,,,,,3,3,1,1,,,8,
,,,,,,,,2,2,2,2,,,4,
,,,,,,,,,,,,,,4,
,,,,,,,,,,1,1,,,6,
,,,,,,,,,,1,1,,,7,
,,,,,,,,2,2,1,1,,,8,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,4,4,,,13,
,,,,,,,,,,,,,,2,
,,,,,,,,1,2,1,1,,,3,
,,,,,,,,2,2,,,,,5,
,,,,,,,,,,2,2,,,9,
,,,,,,,,,,,,,,3,
,,,,,,,1,8,9,12,12,,,65,
,,,,,,,,2,2,,,,,7,
,,,,,,,,3,3,2,2,,,6,
,,,,,,,,1,1,,,,,3,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,,,,,1,
,,,,,,,,7,7,2,2,,,18,
,,,,,,,,,,,,,,17,
,,,,,,,,,,2,2,,,2,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,3,3,5,5,20,
,,,,,,,,,,,,,,10,
,,,,,,,,,,,,,,10,
,,,,,,,4,,4,,,,,4,
,,,,,,,4,,4,,,,,4,
,,,,,,,11,67,78,39,39,5,5,324,
"Prepared by OISP, 06 Dec 04",,,,,,,,,,,,,,,
