Fall 2004,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,457,10.7%,172,-1.7%,122,6.1%,,,751,6.8%,
Gender,Female,174,12.3%,71,2.9%,43,4.9%,,,288,8.7%,
,Male,283,9.7%,101,-4.7%,79,6.8%,,,463,5.7%,
Ethnicity,White,399,8.4%,115,-4.2%,43,-8.5%,,,557,4.1%,
,Black,3,-50.0%,2,0.0%,,,,,5,-37.5%,
,Hispanic,39,34.5%,8,33.3%,3,200.0%,,,50,38.9%,
,Asian,6,50.0%,1,-50.0%,3,200.0%,,,10,42.9%,
,American Indian,1,0.0%,,,1,0.0%,,,2,0.0%,
,International,5,150.0%,43,7.5%,71,10.9%,,,119,12.3%,
,Unknown/Other,4,33.3%,3,-40.0%,1,0.0%,,,8,-11.1%,
TAMU Age,<18,1,0.0%,,,,,,,1,0.0%,
Categories,18-21,263,10.0%,0,-100.0%,,,,,263,9.6%,
,22-25,158,7.5%,86,-6.5%,6,20.0%,,,250,2.5%,
,26-30,20,25.0%,54,17.4%,40,33.3%,,,114,23.9%,
,31-39,11,120.0%,24,-17.2%,58,-4.9%,,,93,-2.1%,
,40+,4,-20.0%,8,14.3%,18,-5.3%,,,30,-3.2%,
Enrollment,1st Time in College,76,38.2%,,,,,,,76,38.2%,
Status,1st Time PB,1,100.0%,3,-62.5%,,,,,4,-50.0%,
,1st Time Graduate,,,43,-17.3%,16,60.0%,,,59,-4.8%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,32,77.8%,,,,,,,32,77.8%,
,Readmitted,7,-22.2%,,,,,,,7,-22.2%,
,Continuing,341,3.0%,126,9.6%,106,1.0%,,,573,4.0%,
Tuition,Resident Tuition,433,9.6%,62,8.8%,22,15.8%,,,517,9.8%,
Status,Non-Resident Tuition,12,100.0%,18,-10.0%,18,5.9%,,,48,11.6%,
,Tuition  Exemption/Waiver,12,0.0%,92,-6.1%,82,3.8%,,,186,-1.6%,
Residency,Texas Resident,433,9.6%,61,5.2%,22,15.8%,,,516,9.3%,
Status,"Non-TX, US Resident",19,18.8%,68,-11.7%,28,-12.5%,,,115,-8.0%,
,"Non-TX, Non-US Resident",5,150.0%,43,7.5%,72,12.5%,,,120,13.2%,
SCH,< 6 SCH,6,20.0%,28,7.7%,19,-26.9%,,,53,-7.0%,
Categories,6-8 SCH,14,-12.5%,7,75.0%,4,33.3%,,,25,8.7%,
,9-11 SCH,25,0.0%,132,-2.9%,98,14.0%,,,255,3.2%,
,12-14 SCH,282,14.2%,5,25.0%,1,100.0%,,,288,14.7%,
,15-17 SCH,125,9.6%,0,-100.0%,,,,,125,5.0%,
,>17 SCH,5,-16.7%,,,,,,,5,-16.7%,
Ft/Pt:,Less Than Half Time,5,0.0%,26,23.8%,19,-20.8%,,,50,0.0%,
"TAMU
Status","Half-Time
Three-Quarter Time","14
24","-12.5%
9.1%",9,0.0%,4,-20.0%,,,"27
24","-10.0%
9.1%",
,Full-Time,414,11.9%,137,-5.5%,99,15.1%,,,650,8.2%,
"Prepared by OISP, 06 Dec 04",,,,,,,,,,,,
