"Fall 2004
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST JOUR PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies       GEST
Subtotal Other - Special        CLMD Populations             COFD
MARS SABX SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
9
9
8
8
5
6
2
5
4
23
7
25
8
101
72
18
6
3
99
102
102
362
362
1,059","Sophomore
1
3
4
2
14
17
7
4
2
6
8
1
4
20
36
5
126
34
6
4
1
45
55
55
150
150
701","Junior
2
2
6
2
12
2
28
17
31
15
1
11
18
2
3
32
5
46
10
221
42
7
6
3
58
56
56
22
22
842","Senior
1
1
9
3
14
8
27
17
31
20
2
14
18
9
8
27
4
45
14
244
44
4
6
1
55
47
47
999","PB
1
1
3","Total
13
3
18
5
39
12
77
59
74
45
5
33
49
12
19
102
17
152
37
693
192
35
22
8
257
260
260
534
534
3,604",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,4,4,1,1,29,29,13,
,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,23,
,,,,,,,,1,1,2,2,,,8,
,,,,,,,,3,3,,,,,3,
,,,,,,,,8,8,3,3,,,50,
,,,,,,,,3,4,2,2,,,18,
,,,,,,,,1,1,,,,,78,
,,,,,,,,4,4,3,3,,,66,
,,,,,,,,1,1,1,1,,,76,
,,,,,,,1,,1,3,3,,,49,
,,,,,,,,,,,,,,5,
,,,,,,,,8,8,4,4,,,45,
,,,,,,,,2,2,,,,,51,
,,,,,,,,,,,,,,12,
,,,,,,,,2,2,,,,,21,
,,,,,,,,3,3,3,3,,,108,
,,,,,,,,,,,,,,17,
,,,,,,,,9,9,5,5,,,166,
,,,,,,,,7,7,5,5,,,49,
,,,,,,,2,40,42,26,26,,,761,
,,,,,,,,2,2,1,1,,,195,
,,,,,,,,16,16,4,4,,,55,
,,,,,,,,6,6,1,1,,,29,
,,,,,,,,1,1,3,3,,,12,
,,,,,,,,,,1,1,,,1,
,,,,,,,,25,25,10,10,,,292,
,,,,,,,,,,,,,,289,
,,,,,,,1,1,2,,,,,2,
,,,,,,,1,1,2,2,2,,,4,
,,,,,,,2,2,4,2,2,29,29,295,
,,,,,,,,,,,,,,534,
,,,,,,,,,,,,,,534,
,,,,,,,2,,2,,,,,2,
,,,,,,,,1,1,,,,,1,
,,,,,,,2,,2,,,,,2,
,,,,,,,4,1,5,,,,,5,
,,,,,,,40,289,329,184,184,29,29,"4,146",
"Prepared by OISP, 06 Dec 04",,,,,,,,,,,,,,,
