Fall 2004,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Architecture,ARCH,79,-11.2%,1,100.0%,10,42.9%,8,14.3%,2,100.0%,85,-21.3%,4,33.3%,187,-12.6%,
,COMG,26,18.2%,1,-50.0%,1,0.0%,2,0.0%,,,48,-11.1%,1,-50.0%,79,-4.8%,
,COSC,299,3.5%,2,0.0%,23,-11.5%,3,50.0%,,,2,100.0%,1,0.0%,332,3.4%,
,COSL,223,-6.3%,3,0.0%,24,-20.0%,4,-33.3%,1,0.0%,0,-100.0%,3,200.0%,258,-8.2%,
,ENDL,239,-0.4%,4,0.0%,27,-6.9%,16,128.6%,2,0.0%,6,100.0%,1,100.0%,295,3.5%,
,ENDS,209,-1.9%,4,-20.0%,36,56.5%,7,-12.5%,1,-50.0%,1,0.0%,2,-60.0%,260,1.2%,
,LAND,74,42.3%,1,100.0%,10,900.0%,1,-50.0%,2,100.0%,18,0.0%,2,0.0%,108,44.0%,
,LANL,62,-11.4%,1,0.0%,5,-50.0%,2,-33.3%,0,-100.0%,,,0,-100.0%,70,-19.5%,
,LDEV,17,54.5%,0,-100.0%,1,-50.0%,,,,,11,-8.3%,0,-100.0%,29,7.4%,
,URPL,16,6.7%,2,100.0%,3,-40.0%,,,,,17,30.8%,1,0.0%,39,11.4%,
,URSC,11,-15.4%,1,0.0%,,,,,,,38,46.2%,1,0.0%,51,24.4%,
,VIZA,43,-8.5%,,,8,14.3%,5,25.0%,,,14,-22.2%,1,0.0%,71,-7.8%,
,Subtotal,"1,298",-0.1%,20,0.0%,148,5.0%,48,17.1%,8,0.0%,240,-5.9%,17,-10.5%,"1,779",-0.2%,
Business,ACCT,679,4.1%,11,-21.4%,39,8.3%,32,10.3%,1,0.0%,16,-30.4%,3,-25.0%,781,2.9%,
Admin,AGBU,6,20.0%,,,1,100.0%,,,,,,,,,7,40.0%,
,BUAD,"1,609",-15.7%,36,-12.2%,128,0.0%,69,-11.5%,7,-22.2%,44,-17.0%,7,-36.4%,"1,900",-14.7%,
,BUAG,13,0.0%,,,1,100.0%,,,,,,,,,14,7.7%,
,FINC,599,6.6%,11,57.1%,31,-6.1%,27,28.6%,1,-66.7%,14,-41.7%,7,-30.0%,690,4.5%,
,INFO,136,-34.0%,6,-25.0%,13,-18.8%,7,-56.3%,3,0.0%,14,-6.7%,1,-80.0%,180,-33.1%,
,MGMT,359,4.7%,14,133.3%,38,0.0%,18,50.0%,2,-33.3%,15,-11.8%,4,0.0%,450,6.4%,
,MISY,35,-35.2%,2,-33.3%,1,-66.7%,2,0.0%,,,73,30.4%,0,-100.0%,113,-5.0%,
,MKTG,558,-10.7%,10,42.9%,39,-18.8%,8,-20.0%,4,33.3%,17,-22.7%,6,-33.3%,642,-11.3%,
,MLER,67,26.4%,2,100.0%,4,300.0%,,,,,1,0.0%,1,100.0%,75,36.4%,
,Subtotal,"4,061",-8.1%,92,7.0%,295,-2.6%,163,-3.0%,18,-18.2%,194,-8.1%,29,-34.1%,"4,852",-7.7%,
Education,CPSY,30,-16.7%,5,25.0%,4,0.0%,1,100.0%,,,3,50.0%,1,100.0%,44,-4.3%,
,EDAD,216,-7.7%,37,15.6%,58,31.8%,0,-100.0%,1,-50.0%,8,-11.1%,7,40.0%,327,0.0%,
,EDCI,232,43.2%,43,16.2%,34,70.0%,5,0.0%,1,0.0%,33,17.9%,3,50.0%,351,37.6%,
,EDHL,185,18.6%,11,83.3%,14,7.7%,4,0.0%,,,1,100.0%,0,-100.0%,215,18.8%,
,EDIS,931,-1.6%,13,-31.6%,93,9.4%,7,-12.5%,2,-60.0%,3,50.0%,0,-100.0%,"1,049",-1.7%,
,EDIT,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,EDKI,750,-3.1%,35,75.0%,77,8.5%,15,15.4%,5,66.7%,4,100.0%,1,-80.0%,887,-0.1%,
,EDTC,29,0.0%,1,-50.0%,3,0.0%,,,,,6,50.0%,,,39,2.6%,
,EHRD,91,-10.8%,17,6.3%,34,30.8%,4,0.0%,,,18,5.9%,5,66.7%,169,0.6%,
,EPSY,135,-16.1%,9,12.5%,33,-15.4%,1,0.0%,,,25,0.0%,0,-100.0%,203,-13.6%,
,HEED,21,-19.2%,6,100.0%,1,100.0%,,,,,2,100.0%,1,0.0%,31,3.3%,
,HLTH,101,20.2%,4,0.0%,11,10.0%,0,-100.0%,1,0.0%,,,2,100.0%,119,17.8%,
,INST,903,1.5%,13,30.0%,65,22.6%,5,-28.6%,8,-27.3%,2,0.0%,4,33.3%,"1,000",2.5%,
,ISNC,188,60.7%,8,14.3%,29,45.0%,8,14.3%,1,100.0%,2,100.0%,0,-100.0%,236,55.3%,
,KINE,354,10.3%,5,-50.0%,29,20.8%,7,75.0%,2,100.0%,17,-15.0%,6,50.0%,420,9.4%,
,PHED,5,-50.0%,,,3,50.0%,0,-100.0%,0,-100.0%,2,100.0%,0,-100.0%,10,-37.5%,
,SPSY,23,-14.8%,6,0.0%,8,-20.0%,3,200.0%,,,1,-50.0%,1,100.0%,42,-8.7%,
,TECR,19,-42.4%,,,1,0.0%,,,1,100.0%,,,,,21,-38.2%,
,Subtotal,"4,213",2.5%,213,15.8%,497,16.9%,60,5.3%,22,-12.0%,127,11.4%,31,0.0%,"5,163",4.4%,
"Prepared by OISP, 06 Dec 04",,,,,,,,,,,,,,,,,,
