Texas A&M University,,,,,,,,,,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,,,,,,,,,,
Headcount by College by Ethnic Origin by Gender,,,,,,,,,,,,,,,,,,
Fall 2004,,,,,,,,,,,,,,,,,,
Enrollment Profile – Fall 2004 Official Certified 12th Class Day Data,,,,,,,,,,,,,,,,,,
"Fall 2004
Agriculture Architecture Business Admin Education Engineering
G. Bush School of Govt Geosciences
Liberal Arts Science
Veterinary Medicine General Studies
Other - Special Populations
Grand Total",International,,Black,,Am. Indian,,Asian,,Hispanic,,White,,Unknown/Other,,Grand Total,,"Total
6,399
1,779
4,852
5,163
8,781
187
751
7,032
2,744
2,646
3,981
120
44,435",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,188,245,61,72,19,25,59,53,230,250,"2,363","2,775",25,34,"2,945","3,454",,
,94,146,8,12,1,7,22,26,50,98,396,902,5,12,576,"1,203",,
,76,118,57,35,7,11,77,86,167,128,"2,139","1,922",15,14,"2,538","2,314",,
,97,30,152,61,16,6,33,27,365,132,"3,350",863,19,12,"4,032","1,131",,
,300,"1,487",73,111,4,23,90,279,162,608,976,"4,608",11,49,"1,616","7,165",,
,7,6,5,3,,1,3,2,10,9,51,87,1,2,77,110,,
,38,81,3,2,,2,4,6,23,27,216,341,4,4,288,463,,
,104,123,133,51,24,10,77,65,416,345,"3,317","2,302",31,34,"4,102","2,930",,
,111,246,45,33,5,10,100,85,166,126,"1,027",772,9,9,"1,463","1,281",,
,30,37,34,9,11,6,95,50,214,81,"1,411",648,11,9,"1,806",840,,
,5,8,60,73,10,10,50,76,227,307,"1,419","1,726",4,6,"1,775","2,206",,
,25,55,1,,,,2,1,3,2,16,11,4,,51,69,,
,"1,075","2,582",632,462,97,111,612,756,"2,033","2,113","16,681","16,957",139,185,"21,269","23,166",,
"Prepared by OISP, 06 Dec 04",,,,,,,,,,,,,,,,,,
