Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Greece,1,2,12,,15,
Guatemala,11,1,1,,13,
Honduras,12,1,1,,14,
Hong Kong,13,4,8,,25,
Iceland,,2,1,,3,
India,85,544,204,,833,
Indonesia,47,20,10,,77,
Iran,5,9,16,,30,
Iraq,,1,1,,2,
Ireland,,1,,,1,
Israel,1,,2,,3,
Italy,2,3,3,,8,
Jamaica,,4,2,,6,
Japan,7,20,12,,39,
Jordan,2,5,11,,18,
Kazakhstan,5,4,1,,10,
Kenya,2,2,3,,7,
"Korea, Republic of",37,168,400,,605,
Kuwait,,3,3,,6,
Lebanon,4,5,9,,18,
Liberia,1,,,,1,
Lithuania,1,,,,1,
Macao,1,,,,1,
Macedonia,,3,,,3,
Madagascar,,,1,,1,
Malawi (Central Africa),,,2,,2,
Malaysia,11,1,4,,16,
Mali,,1,3,,4,
Mauritius,,,1,,1,
Mexico,39,39,54,,132,
Moldova,,,1,,1,
Mongolia,1,,,,1,
Morocco,,1,2,,3,
Mozambique,,1,,,1,
Nepal,1,3,1,,5,
Netherlands,,1,2,,3,
Nicaragua,5,,,,5,
Niger,,,1,,1,
Nigeria,20,22,10,,52,
Norway,2,4,1,,7,
Oman,1,1,,,2,
Pakistan,20,6,8,,34,
Panama,6,1,,,7,
Paraguay,1,,1,,2,
