"Fall 2004
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST JOUR PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies       GEST
Subtotal Other - Special        CLMD Populations             COFD
MARS SABX SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
4
1
1
1
1
10
4
22
37
7
3
47
39
39
80
80
297","Sophomore
2
1
1
4
4
1
4
1
2
1
1
5
5
2
26
30
4
2
1
37
30
30
42
42
234","Junior
2
2
2
3
7
4
1
2
5
6
4
34
38
5
2
45
35
35
4
4
278","Senior
1
4
1
13
3
1
1
1
4
15
3
47
28
4
1
1
34
21
21
355","PB
1","Total
2
3
1
6
1
10
9
25
9
2
5
2
3
24
30
9
129
133
20
8
2
163
125
125
126
126
1,165",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,1,1,13,13,2,
,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,2,
,,,,,,,,,,2,2,,,3,
,,,,,,,,1,1,3,3,,,10,
,,,,,,,,2,2,,,,,3,
,,,,,,,,,,,,,,10,
,,,,,,,,,,2,2,,,11,
,,,,,,,,2,2,,,,,27,
,,,,,,,,,,1,1,,,10,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,2,
,,,,,,,,2,2,,,,,5,
,,,,,,,,,,,,,,24,
,,,,,,,,1,1,2,2,,,33,
,,,,,,,,,,1,1,,,10,
,,,,,,,,7,7,6,6,,,142,
,,,,,,,,2,2,2,2,,,137,
,,,,,,,,8,8,3,3,,,31,
,,,,,,,,2,2,1,1,,,11,
,,,,,,,,1,1,1,1,,,4,
,,,,,,,,1,1,1,1,,,2,
,,,,,,,,14,14,8,8,,,185,
,,,,,,,,,,,,,,138,
,,,,,,,,1,1,1,1,,,2,
,,,,,,,,1,1,,,,,1,
,,,,,,,,,,1,1,,,1,
,,,,,,,,1,1,2,2,,,3,
,,,,,,,,3,3,4,4,13,13,145,
,,,,,,,,,,,,,,126,
,,,,,,,,,,,,,,126,
,,,,,,,,2,2,,,,,2,
,,,,,,,,,1,,,,,1,
,,,,,,,1,2,3,,,,,3,
,,,,,,,9,120,129,61,61,13,13,"1,368",
"Prepared by OISP, 06 Dec 04",,,,,,,,,,,,,,,
