Fall 2004,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Agriculture,ADEV,722,-27.2%,4,-63.6%,1,0.0%,,,726,-27.6%,
,AGBL,131,-9.0%,,,,,,,131,-9.0%,
,AGBU,98,-19.0%,42,-4.5%,,,,,141,-15.1%,
,AGEC,286,-8.3%,37,-7.5%,46,-2.1%,,,369,-7.5%,
,AGED,,,50,-18.0%,48,-15.8%,,,98,-16.9%,
,AGEN,110,-1.8%,1,-50.0%,,,,,111,-2.6%,
,AGJR,85,-19.0%,,,,,,,85,-19.0%,
,AGLS,287,28.1%,,,,,,,287,28.1%,
,AGRO,110,-14.7%,15,-28.6%,17,-10.5%,,,142,-16.0%,
,AGSC,178,-16.8%,,,,,,,178,-16.8%,
,AGSM,178,4.1%,0,-100.0%,,,,,178,3.5%,
,ANBR,,,5,66.7%,1,0.0%,,,6,50.0%,
,ANSC,734,3.4%,68,23.6%,21,40.0%,,,823,5.5%,
,BAEN,,,28,-17.6%,16,6.7%,,,44,-10.2%,
,BESC,169,5.0%,,,,,,,169,5.0%,
,BICH,180,9.8%,40,14.3%,75,-5.1%,,,295,6.1%,
,BSEN,30,3.4%,,,,,,,30,3.4%,
,DASC,11,37.5%,,,,,,,11,37.5%,
,ENTO,64,10.3%,37,12.1%,24,-4.0%,,,125,7.8%,
,FISC,,,0,-100.0%,,,,,0,-100.0%,
,FLOR,12,33.3%,3,200.0%,,,,,15,50.0%,
,FORS,47,-4.1%,10,-9.1%,5,-16.7%,,,62,-6.1%,
,FSTC,41,-8.9%,23,-20.7%,19,-9.5%,,,83,-12.6%,
,GENE,158,-15.1%,24,14.3%,26,13.0%,,,208,-9.6%,
,HORT,122,-7.6%,21,0.0%,15,-16.7%,,,158,-7.6%,
,MEPS,,,11,-8.3%,20,33.3%,,,31,14.8%,
,NRDV,,,10,0.0%,,,,,10,0.0%,
,NUSC,380,23.8%,,,,,,,380,23.8%,
,NUTR,,,20,-23.1%,13,-13.3%,,,33,-19.5%,
,PLBR,,,14,-6.7%,16,-5.9%,,,30,-6.3%,
,PLPA,,,6,-14.3%,17,-22.7%,,,23,-20.7%,
,PLSC,,,2,0.0%,,,,,2,0.0%,
,POSC,187,0.5%,19,26.7%,12,-20.0%,,,218,0.9%,
,PPHY,,,,,0,-100.0%,,,0,-100.0%,
,PREP,,,23,35.3%,10,-23.1%,,,33,10.0%,
,PSSC,3,-40.0%,,,,,,,3,-40.0%,
,RENR,38,-2.6%,,,,,,,38,-2.6%,
,RLEM,142,0.0%,34,-15.0%,26,-7.1%,,,202,-3.8%,
,RPTS,273,3.8%,14,-26.3%,39,44.4%,,,326,5.5%,
,RRDV,,,,,0,-100.0%,,,0,-100.0%,
,SOSC,,,15,-21.1%,9,12.5%,,,24,-11.1%,
,TOXI,,,1,0.0%,2,0.0%,,,3,0.0%,
,WFSC,405,-1.2%,92,9.5%,64,1.6%,,,561,0.7%,
"Prepared by OISP, 06 Dec 04",,,,,,,,,,,,
