Fall 2004,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Engineering      AERL
AERO BMEL BMEN CECL CECN CEEL CEEN CHEL CHEN CPEN CPSC CPSL CVEL CVEN ELEL ELEN ENGR ENSM ENTC ENTL HLPH IDIL IDIS INEL INEN ITDE MEEL MEEN NUEL NUEN OCEL OCEN PETE PETL PREN RHEL RHEN SENG",,"278
236
157
156
159
99
138
178
176
296
219
202
267
616
279
371
276
114
134
314
90
180
470
572
66
82
25
110
172
121
37
10
28","10.8%
-0.8%
25.6%
0.0%
-17.6%
-22.7%
-9.8%
-14.4%
1.1%
-2.3%
-21.2%
-5.6%
-9.8%
0.3%
5.7%
-7.3%
6.6%
-43.0%
1.5%
-14.7%
42.9%
-4.8%
8.0%
-4.3%
-5.7%
-13.7%
-28.6%
23.6%
21.1%
18.6%
-84.8%
-37.5%
21.7%","56
38
31
20
54
7
159
182
149
0
5
11
15
116
0
224
38
25
123
2","19.1%
-9.5%
72.2%
150.0%
8.0%
-65.0%
-13.6%
-7.6%
-3.2%
-100.0%
-44.4%
22.2%
-44.4%
-21.1%
-100.0%
-7.4%
22.6%
25.0%
-2.4%
-50.0%","44
26
15
12
77
24
135
110
166
5
53
16
131
29
19
36","-4.3%
-3.7%
114.3%
100.0%
-6.1%
-4.0%
13.4%
-4.3%
3.1%
-16.7%
-8.6%
0.0%
0.8%
-14.7%
18.8%
28.6%",,,"278
336
157
220
159
145
138
210
176
427
31
513
202
267
908
279
686
5
5
276
114
11
134
329
90
349
16
470
927
66
149
25
154
331
121
37
10
28
2","10.8%
1.5%
25.6%
-2.2%
-17.6%
-5.2%
-9.8%
-5.4%
1.1%
-1.8%
-31.1%
-11.7%
-5.6%
-9.8%
-1.9%
5.7%
-4.1%
-44.4%
-44.4%
6.6%
-43.0%
22.2%
1.5%
-16.7%
42.9%
-11.4%
-5.9%
8.0%
-4.4%
-5.7%
-6.9%
-28.6%
23.2%
11.8%
18.6%
-84.8%
-37.5%
21.7%
-50.0%",
,Subtotal,"6,628",-6.1%,"1,255",-6.3%,898,2.5%,,,"8,781",-5.3%,
"G. Bush             BUSH
School of          INTA",,,,"64
123","-3.0%
36.7%",,,,,"64
123","-3.0%
36.7%",
Govt,Subtotal,,,187,19.9%,,,,,187,19.9%,
"Prepared by OISP, 06 Dec 04",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
