"Fall 2004
Agriculture               AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC NFSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture    ARCH COSC LAUP
Subtotal
Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education        CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH  of Govt                     Subtotal
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal",Undergraduate,,,,,Masters,,,,PhD,,,Professional,,Total,
,"1st Time in College
69
45
162
38
102
2
4
3
7
4
3
12
6
10
2
42
511
99
55
17
171
764
764
3
182
239
424
195
108
108
171
175
189
35
55
241
35
58
1,370
48
5
8
15
76","1st Time PB
1
1
1
1
2
1
7
1
1
1
1
2
1
1
4
1
1","1st Time Transfer
41
58
54
19
9
14
6
9
9
5
6
10
9
22
6
26
303
29
21
10
60
7
40
7
2
2
3
61
12
92
166
270
14
5
20
10
27
60
23
6
55
2
17
239
15
2
5
10
32","Readmitted
5
21
13
10
3
24
1
2
3
3
7
5
3
6
10
116
1
2
1
4
1
7
6
1
1
4
20
5
16
17
38
1
1
9
8
3
14
3
5
5
4
53
3
4
7","Continuing
400
860
896
250
224
249
53
44
115
32
156
158
141
238
97
331
4,244
426
512
116
1,054
620
878
557
164
378
577
3,174
216
1,272
1,647
3,135
304
200
343
37
489
808
714
766
206
739
143
213
4,962
87
25
150
79
341",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Continuing,,
,,,,,,1,28,1,50,7,1,40,,,641,
,,,,,,2,14,,37,8,,39,,,"1,087",
,,,,,,1,39,4,78,8,,42,,,"1,297",
,,,,,,,6,,23,2,,16,,,365,
,,,,,,1,30,,31,4,,91,,,495,
,,,,,,,,,2,,,,,,291,
,,,,,,2,12,,23,2,1,25,,,129,
,,,,,,,3,,10,2,,5,,,79,
,,,,,,3,5,,20,3,,21,,,186,
,,,,,,,,,,,,,,,41,
,,,,,,,2,,6,,,19,,,196,
,,,,,,1,8,,17,1,,15,,,229,
,,,,,,,8,,28,1,,26,,,224,
,,,,,,,5,,9,5,1,33,,,326,
,,,,,,,13,,47,5,,51,,,229,
,,,,,,3,30,3,69,6,,63,,,584,
,,,,,,14,203,8,450,54,3,486,,,"6,399",
,,,,,,2,54,,145,4,,53,,,813,
,,,,,,,18,,61,,,,,,669,
,,,,,,1,43,1,58,11,1,38,,,297,
,,,,,,3,115,1,264,15,1,91,,,"1,779",
,,,,,,,115,,24,1,,13,,,781,
,,,,,,5,117,,110,,,,,,"1,921",
,,,,,,1,122,,62,3,,7,,,765,
,,,,,,,55,,60,,,11,,,293,
,,,,,,,26,,20,4,,19,,,450,
,,,,,,,14,,27,2,,14,,,642,
,,,,,,6,449,,303,10,,64,,,"4,852",
,,,,,,,,,,,,,,,236,
,,,,,,29,38,1,101,27,2,298,,,496,
,,,,,,4,51,,101,8,,164,,,328,
,,,,,,1,25,,43,8,1,42,,,"1,682",
,,,,,,54,70,1,78,17,,131,,,"2,421",
,,,,,,88,184,2,323,60,3,635,,,"5,163",
,,,,,,,22,,34,1,,43,,,614,
,,,,,,,14,,24,3,,23,,,377,
,,,,,,,21,,33,9,,68,,,603,
,,,,,,,,,,,,24,,,61,
,,,,,,4,67,,121,22,,135,,,"1,028",
,,,,,,,66,1,140,21,1,107,,,"1,354",
,,,,,,,61,,113,24,,168,,,"1,332",
,,,,,,,8,,7,,,,,,853,
,,,,,,1,38,1,81,7,,46,,,444,
,,,,,,5,65,3,151,15,,116,,,"1,397",
,,,,,,3,13,,35,3,,26,,,266,
,,,,,,4,48,1,70,14,,22,,,452,
,,,,,,17,423,6,809,119,1,778,,,"8,781",
,,,,,,41,62,,84,,,,,,187,
,,,,,,41,62,,84,,,,,,187,
,,,,,,,9,,25,5,,21,,,210,
,,,,,,,,,,,,,,,32,
,,,,,,1,9,,16,6,,19,,,217,
,,,,,,1,16,,52,3,,38,,,219,
,,,,,,1,9,,33,2,,28,,,73,
,,,,,,3,43,,126,16,,106,,,751,
"Prepared by OISP, 06 Dec 04",,,,,,,,,,,,,,,,
