"Fall 2004
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST JOUR PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies       GEST
Subtotal Other - Special        CLMD Populations             COFD
MARS SABX SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
2
3
3
1
1
5
1
1
5
5
41
41
92","Sophomore
1
1
2
2
1
2
1
1
7
8
8
3
3
7
7
104","Junior
2
7
1
4
1
15
2
1
3
7
7
1
1
145","Senior
1
1
1
5
1
5
14
3
2
5
3
3
191","PB
3","Total
1
2
2
5
1
5
2
14
1
1
1
10
1
36
16
3
2
21
14
14
13
13
41
41
535",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,3,4,19,19,,,24,
,,,,,,,,6,6,14,14,,,22,
,,,,,,,1,22,23,23,23,,,48,
,,,,,,,,10,10,15,15,,,25,
,,,,,,,2,41,43,71,71,,,119,
,,,,,,,,10,10,4,4,,,15,
,,,,,,,,3,3,,,,,8,
,,,,,,,,3,3,5,5,,,10,
,,,,,,,1,39,40,42,42,,,96,
,,,,,,,,6,6,20,20,,,26,
,,,,,,,,2,2,,,,,2,
,,,,,,,,1,1,2,2,,,4,
,,,,,,,,5,5,,,,,6,
,,,,,,,,3,3,2,2,,,5,
,,,,,,,1,2,3,15,15,,,19,
,,,,,,,,2,2,7,7,,,19,
,,,,,,,,4,4,12,12,,,17,
,,,,,,,2,80,82,109,109,,,227,
,,,,,,,,13,13,20,20,,,49,
,,,,,,,,48,48,63,63,,,111,
,,,,,,,1,17,18,39,39,,,60,
,,,,,,,1,29,30,65,65,,,97,
,,,,,,,,11,11,29,29,,,40,
,,,,,,,2,118,120,216,216,,,357,
,,,,,,,,,,,,,,14,
,,,,,,,,3,3,13,13,,,16,
,,,,,,,,1,1,,,,,1,
,,,,,,,,10,10,6,6,,,16,
,,,,,,,,4,4,16,16,,,20,
,,,,,,,,18,18,35,35,,,67,
,,,,,,,,,,,,,,13,
,,,,,,,,,,,,,,13,
,,,,,,,4,,4,,,,,4,
,,,,,,,,8,8,8,8,,,16,
,,,,,,,14,,14,,,,,55,
,,,,,,,5,,5,,,,,5,
,,,,,,,23,8,31,8,8,,,80,
,,,,,,,45,"1,465","1,510","1,612","1,612",,,"3,657",
"Prepared by OISP, 06 Dec 04",,,,,,,,,,,,,,,
