"Spring 2009
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture   ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
8
1
3
1
1
1
16
24
24
1
13
7
21
5
2
5
6
5
5
3
3
3
1
38","Sophomore
1
3
1
1
4
2
1
2
15
2
2
1
5
22
22
2
12
5
19
1
3
2
3
4
8
4
6
3
3
1
38","Junior
2
26
4
1
1
8
2
1
1
6
5
3
1
2
63
5
2
2
1
10
11
10
2
2
10
3
38
6
2
25
7
40
5
4
6
3
11
8
3
1
2
43","Senior
32
4
2
4
4
1
9
8
4
1
4
73
4
2
6
7
2
11
4
2
6
32
10
3
22
9
44
3
3
3
3
7
6
11
5
7
2
4
54","PB
1
1","Total
3
61
9
4
10
17
9
2
1
19
14
2
8
2
7
168
11
2
6
2
21
18
58
13
6
12
9
116
16
8
72
28
124
14
8
14
18
19
30
26
17
13
6
8
173",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,2,2,1,1,,,6,
,,,,,,,,2,4,8,8,,,73,
,,,,,,,,1,1,2,2,,,12,
,,,,,,,,1,1,,,,,5,
,,,,,,,,2,2,1,1,,,13,
,,,,,,,,,,,,,,17,
,,,,,,,,1,1,,,,,10,
,,,,,,,,1,1,2,2,,,5,
,,,,,,,,,,,,,,1,
,,,,,,,,,,1,1,,,20,
,,,,,,,,,,,,,,14,
,,,,,,,,,,1,1,,,3,
,,,,,,,,,,3,3,,,11,
,,,,,,,,,,1,1,,,3,
,,,,,,,,3,3,1,1,,,11,
,,,,,,,2,13,15,21,21,,,204,
,,,,,,,,2,2,,,,,13,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,6,
,,,,,,,,,,2,2,,,4,
,,,,,,,,2,2,2,2,,,25,
,,,,,,,,1,1,,,,,19,
,,,,,,,,12,12,,,,,70,
,,,,,,,,4,4,,,,,17,
,,,,,,,,1,1,,,,,7,
,,,,,,,,2,2,1,1,,,15,
,,,,,,,,,,,,,,9,
,,,,,,,,20,20,1,1,,,137,
,,,,,,,2,26,28,40,40,,,84,
,,,,,,,,6,6,16,16,,,30,
,,,,,,,,2,2,5,5,,,79,
,,,,,,,1,4,5,50,50,,,83,
,,,,,,,3,38,41,111,111,,,276,
,,,,,,,,,,,,,,14,
,,,,,,,,,,,,,,8,
,,,,,,,,1,1,2,2,,,17,
,,,,,,,,,,2,2,,,2,
,,,,,,,,3,3,2,2,,,23,
,,,,,,,,,,1,1,,,20,
,,,,,,,,2,2,2,2,,,34,
,,,,,,,,1,1,,,,,27,
,,,,,,,,1,1,2,2,,,20,
,,,,,,,,3,3,5,5,,,21,
,,,,,,,,,,1,1,,,7,
,,,,,,,,5,5,1,1,,,14,
,,,,,,,,16,16,18,18,,,207,
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,,,,
