"Spring 2009
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture   ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
31
31
58
20
20
5
12
10
5
37
1
7
10
7
17
271
34
40
15
89
397
397
6
23
146
102
277
87
41
64
67
114
71
34
47
107
30
58
720","Sophomore
131
109
127
35
33
29
10
36
24
96
15
33
36
19
57
790
77
109
32
218
674
2
2
678
23
23
311
226
583
103
57
136
72
162
94
110
74
193
45
102
1,148","Junior
215
295
174
69
42
55
27
68
41
137
32
36
75
31
105
1,402
115
12
142
45
314
246
209
271
72
105
189
1,092
1
74
63
511
307
956
107
57
133
1
102
223
115
217
85
214
61
111
1,426","Senior
184
335
235
89
66
30
31
74
59
167
56
35
113
38
107
1,619
159
21
230
61
471
244
48
354
78
140
213
1,077
8
124
52
620
481
1,285
112
79
168
126
270
134
326
105
290
54
149
1,813","PB
4
3
2
1
1
3
1
1
16
1
1
4
19
23
1
1
1
2
2
2
1
2
4
2
18","Total
561
774
597
215
162
120
83
188
130
437
104
111
234
95
287
4,098
385
33
522
153
1,093
490
1,328
625
152
245
404
3,244
9
227
161
1,592
1,135
3,124
410
235
502
1
369
771
416
688
313
808
190
422
5,125",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,47,49,14,14,,,624,
,,,,,,,4,66,70,30,30,,,874,
,,,,,,,3,75,78,18,18,,,693,
,,,,,,,,16,16,6,6,,,237,
,,,,,,,,20,20,39,39,,,221,
,,,,,,,,9,9,1,1,,,130,
,,,,,,,1,16,17,14,14,,,114,
,,,,,,,,29,29,11,11,,,228,
,,,,,,,,7,7,4,4,,,141,
,,,,,,,,21,21,6,6,,,464,
,,,,,,,1,4,5,6,6,,,115,
,,,,,,,,15,15,2,2,,,128,
,,,,,,,1,23,24,8,8,,,266,
,,,,,,,,38,38,18,18,,,151,
,,,,,,,3,64,67,28,28,,,382,
,,,,,,,15,450,465,205,205,,,"4,768",
,,,,,,,4,55,59,12,12,,,456,
,,,,,,,,,,,,,,33,
,,,,,,,2,16,18,,,,,540,
,,,,,,,1,45,46,10,10,,,209,
,,,,,,,,42,42,,,,,42,
,,,,,,,7,158,165,22,22,,,"1,280",
,,,,,,,,92,92,14,14,,,596,
,,,,,,,,103,103,,,,,"1,431",
,,,,,,,,174,174,6,6,,,805,
,,,,,,,,59,59,,,,,211,
,,,,,,,,34,34,9,9,,,288,
,,,,,,,,37,37,2,2,,,443,
,,,,,,,,499,499,31,31,,,"3,774",
,,,,,,,,,,,,,,9,
,,,,,,,12,88,100,149,149,,,476,
,,,,,,,1,86,87,87,87,,,335,
,,,,,,,2,54,56,30,30,,,"1,678",
,,,,,,,20,192,212,98,98,,,"1,445",
,,,,,,,35,420,455,364,364,,,"3,943",
,,,,,,,,43,43,23,23,,,476,
,,,,,,,,24,24,11,11,,,270,
,,,,,,,,13,13,12,12,,,527,
,,,,,,,,1,1,5,5,,,7,
,,,,,,,,31,31,36,36,,,436,
,,,,,,,1,87,88,19,19,,,878,
,,,,,,,1,37,38,23,23,,,477,
,,,,,,,,13,13,,,,,701,
,,,,,,,,25,25,8,8,,,346,
,,,,,,,,58,58,27,27,,,893,
,,,,,,,,40,40,21,21,,,251,
,,,,,,,,42,42,2,2,,,466,
,,,,,,,2,414,416,187,187,,,"5,728",
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,,,,
