"Spring 2009
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal Other - Special        CLMD Populations             MARB
MARS SABX SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
1
4
2
4
1
12
3
27
12
1
2
1
16
16
16
107
107
266","Sophomore
2
2
8
8
1
1
1
5
1
11
6
42
13
2
2
1
18
10
10
86
86
257","Junior
1
1
1
3
1
4
5
1
7
1
3
1
18
2
13
9
65
14
2
1
17
9
9
11
11
299","Senior
1
2
8
3
12
5
15
14
9
69
9
4
1
1
15
7
7
300","PB
1
1
2","Total
1
2
3
6
2
15
25
4
22
2
9
1
42
4
50
27
203
49
9
2
5
2
67
42
42
204
204
1,124",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,6,8,14,1,1,1,1,14,
,,,,,,,6,8,14,,,,,14,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,,,,,4,
,,,,,,,,,,1,1,,,4,
,,,,,,,,1,1,2,2,,,9,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,15,
,,,,,,,,2,2,2,2,,,29,
,,,,,,,,,,,,,,4,
,,,,,,,,3,3,2,2,,,27,
,,,,,,,,,,,,,,2,
,,,,,,,1,,1,1,1,,,11,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,4,4,,,47,
,,,,,,,,,,,,,,4,
,,,,,,,,1,1,6,6,,,57,
,,,,,,,1,5,6,13,13,,,46,
,,,,,,,2,12,14,28,28,,,245,
,,,,,,,,,,1,1,,,50,
,,,,,,,,2,2,2,2,,,13,
,,,,,,,,,,,,,,2,
,,,,,,,,,,1,1,,,6,
,,,,,,,,1,1,1,1,,,4,
,,,,,,,1,1,2,,,,,2,
,,,,,,,1,4,5,5,5,,,77,
,,,,,,,,,,,,,,43,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,2,2,,,2,
,,,,,,,,1,1,,,,,1,
,,,,,,,,1,1,3,3,1,1,47,
,,,,,,,,,,,,,,204,
,,,,,,,,,,,,,,204,
,,,,,,,1,,1,,,,,1,
,,,,,,,1,,1,,,,,1,
,,,,,,,15,115,130,191,191,1,1,"1,446",
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,,,,
