Spring 2009,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Agriculture,AGBL,168,21.7%,39,875.0%,68,13.3%,,,168,21.7%,
,AGBU,121,11.0%,,,,,,,160,41.6%,
,AGCJ,121,13.1%,,,,,,,121,13.1%,
,AGEC,346,4.8%,49,-14.0%,,,,,463,3.6%,
,AGED,,,60,13.2%,43,-8.5%,,,103,3.0%,
,AGEN,21,-58.0%,,,,,,,21,-58.0%,
,AGLS,160,-58.1%,,,,,,,160,-58.1%,
,AGRO,110,13.4%,19,35.7%,12,-20.0%,,,141,11.9%,
,AGSC,112,14.3%,,,,,,,112,14.3%,
,AGSM,138,1.5%,2,100.0%,,,,,140,2.9%,
,ALED,617,-8.5%,27,17.4%,,,,,644,-7.6%,
,ANBR,,,5,25.0%,,,,,5,25.0%,
,ANSC,706,-3.0%,62,-10.1%,9,-30.8%,,,777,-4.1%,
,BAEN,94,46.9%,39,11.4%,18,-10.0%,,,151,26.9%,
,BESC,163,-3.6%,,,,,,,163,-3.6%,
,BICH,163,-3.6%,30,-18.9%,65,-3.0%,,,258,-5.5%,
,BIOT,,,32,100.0%,,,,,32,100.0%,
,BSEN,5,0.0%,,,,,,,5,0.0%,
,CDEV,9,350.0%,,,,,,,9,350.0%,
,DASC,5,25.0%,1,-50.0%,,,,,6,0.0%,
,ECOR,9,0.0%,,,,,,,9,0.0%,
,ENST,9,-30.8%,,,,,,,9,-30.8%,
,ENTO,87,4.8%,25,-10.7%,24,0.0%,,,136,0.7%,
,FISC,,,3,200.0%,,,,,3,200.0%,
,FIVL,43,975.0%,,,,,,,43,975.0%,
,FLOR,3,0.0%,1,0.0%,,,,,4,0.0%,
,FORS,23,15.0%,5,-28.6%,5,-28.6%,,,33,-2.9%,
,FSTC,92,-5.2%,31,3000.0%,10,100.0%,,,133,35.7%,
,GENE,97,-22.4%,11,100.0%,20,1900.0%,,,128,1.6%,
,HORT,155,-2.5%,11,-21.4%,16,6.7%,,,182,-3.2%,
,MEPS,,,7,100.0%,16,100.0%,,,23,100.0%,
,NRDV,,,14,75.0%,,,,,14,75.0%,
,NUSC,511,-6.1%,,,,,,,511,-6.1%,
,NUTR,,,23,666.7%,16,433.3%,,,39,550.0%,
,PLBR,,,16,45.5%,15,36.4%,,,31,40.9%,
,PLPA,,,15,25.0%,12,9.1%,,,27,17.4%,
,POSC,137,-2.1%,16,6.7%,13,0.0%,,,166,-1.2%,
,PPRO,,,1,100.0%,,,,,1,100.0%,
,PREP,,,14,40.0%,11,-31.3%,,,25,-3.8%,
,PSSC,5,66.7%,,,,,,,5,66.7%,
,RENR,39,44.4%,,,,,,,39,44.4%,
,RLEM,97,-9.3%,30,-9.1%,14,0.0%,,,141,-8.4%,
,RPTS,267,-10.4%,28,-20.0%,37,-7.5%,,,332,-11.0%,
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,
