"Spring 2009
Agriculture               AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture    ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education        CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering              AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH of Govt                     Subtotal",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
791
1,045
833
320
376
204
180
278
189
664
199
194
344
222
492
6,331
670
49
724
342
63
1,848
766
1,864
973
325
379
529
4,836
10
759
536
2,106
1,742
5,153
673
433
864
13
787
1,396
1,141
908
732
1,406
347
810
9,510
303
303",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,194,430,2,4,26,33,5,5,1,2,33,55,1,,262,529,,
,411,463,17,56,32,42,2,3,1,4,4,6,1,3,468,577,,
,463,230,9,3,61,36,6,1,5,1,10,6,2,,556,277,,
,30,207,1,4,6,20,5,7,1,,9,29,,1,52,268,,
,117,104,10,3,26,20,25,12,1,,25,29,2,2,206,170,,
,62,68,7,10,18,20,4,3,,2,5,3,1,1,97,107,,
,67,47,6,4,25,16,1,2,1,,4,6,1,,105,75,,
,56,172,2,3,14,18,,2,,,6,4,,1,78,200,,
,93,48,,1,13,7,,2,2,1,14,8,,,122,67,,
,397,67,15,5,90,25,22,6,3,1,23,9,1,,551,113,,
,58,57,11,3,17,21,5,8,1,,9,7,,2,101,98,,
,59,69,1,2,11,11,,1,3,1,18,17,,1,92,102,,
,142,124,6,5,14,12,2,3,2,1,23,6,3,1,192,152,,
,29,122,,3,6,13,2,3,1,2,14,25,1,1,53,169,,
,175,207,7,4,33,34,4,1,5,1,12,7,2,,238,254,,
,"2,353","2,415",94,110,392,328,83,59,27,16,209,217,15,13,"3,173","3,158",,
,221,235,6,7,36,61,13,10,3,,35,40,3,,317,353,,
,10,23,1,1,3,6,1,2,,2,,,,,15,34,,
,67,473,3,3,13,54,2,10,1,6,26,64,,2,112,612,,
,71,138,1,3,16,26,5,3,,1,35,42,,1,128,214,,
,10,32,,,1,5,1,4,,,4,5,,1,16,47,,
,379,901,11,14,69,152,22,29,4,9,100,151,3,4,588,"1,260",,
,315,281,15,4,35,39,31,26,3,1,8,6,1,1,408,358,,
,723,708,45,25,123,89,37,53,5,3,13,30,,10,946,918,,
,318,487,9,8,30,48,20,25,3,4,8,9,2,2,390,583,,
,81,130,4,3,13,23,5,13,,,13,38,1,1,117,208,,
,149,139,6,9,23,21,11,3,,3,8,7,,,197,182,,
,342,101,5,4,36,11,8,6,3,,7,6,,,401,128,,
,"1,928","1,846",84,53,260,231,112,126,14,11,57,96,4,14,"2,459","2,377",,
,4,5,,,,,1,,,,,,,,5,5,,
,297,179,53,31,80,56,10,10,3,1,22,7,7,3,472,287,,
,301,34,25,5,102,15,13,1,2,1,28,7,1,1,472,64,,
,"1,061",617,43,36,151,109,27,15,6,2,11,24,,4,"1,299",807,,
,"1,331",114,67,16,111,17,31,1,3,1,35,10,5,,"1,583",159,,
,"2,994",949,188,88,444,197,82,27,14,5,96,48,13,8,"3,831","1,322",,
,66,410,1,13,16,70,2,22,,2,11,58,1,1,97,576,,
,119,151,5,3,26,23,17,42,,,13,32,1,1,181,252,,
,135,392,5,12,35,50,29,39,1,4,55,105,1,1,261,603,,
,2,5,1,1,,1,,,,,,2,,1,3,10,,
,40,396,6,17,10,73,9,33,2,3,33,160,1,4,101,686,,
,181,697,4,16,38,135,10,40,2,2,50,218,1,2,286,"1,110",,
,45,432,4,30,17,108,6,70,,6,71,348,,4,143,998,,
,101,600,7,20,24,107,3,32,,5,2,7,,,137,771,,
,67,279,9,11,41,77,4,16,,4,45,177,,2,166,566,,
,113,780,8,13,14,103,8,39,1,7,60,254,,6,204,"1,202",,
,38,213,2,5,6,29,3,18,1,,2,27,,3,52,295,,
,75,391,2,12,10,42,9,33,,,46,185,,5,142,668,,
,982,"4,746",54,153,237,818,100,384,7,33,388,"1,573",5,30,"1,773","7,737",,
,96,134,4,10,10,15,2,3,,1,11,12,1,4,124,179,,
,96,134,4,10,10,15,2,3,,1,11,12,1,4,124,179,,
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,,,,,,,
