"Spring 2009
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal Other - Special        CLMD Populations             MARB
MARS SABX SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
15
9
9
12
45
8
40
50
10
42
1
3
47
4
64
9
76
6
360
179
22
25
13
239
229
229
1,369
1,369
3,996","Sophomore
19
9
20
33
81
15
96
203
37
98
9
13
117
8
141
10
202
35
984
215
34
42
16
307
306
306
1,518
1,518
1
1
6,614","Junior
25
20
48
49
142
35
121
263
111
156
6
18
183
28
189
15
261
87
1,473
209
47
2
55
24
337
252
252
234
234
7,628","Senior
34
17
52
59
162
36
123
300
125
183
13
22
208
35
220
23
288
101
1,677
275
55
1
71
23
425
301
301
4
4
1
1
8,835","PB
3
3
2
1
3
64","Total
96
55
129
153
433
94
380
816
283
479
29
56
555
75
614
57
827
229
4,494
880
159
3
193
76
1,311
1,088
1,088
3,125
3,125
1
1
2
27,137",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,93,137,230,7,7,436,436,230,
,,,,,,,93,137,230,,,,,230,
,,,,,,,,15,15,,,,,118,
,,,,,,,1,,1,,,,,56,
,,,,,,,5,28,33,14,14,,,176,
,,,,,,,3,36,39,12,12,,,204,
,,,,,,,,25,25,20,20,,,45,
,,,,,,,9,104,113,53,53,,,599,
,,,,,,,,50,50,30,30,,,174,
,,,,,,,,1,1,,,,,381,
,,,,,,,1,13,14,33,33,,,863,
,,,,,,,,11,11,8,8,,,302,
,,,,,,,,25,25,49,49,,,553,
,,,,,,,,,,,,,,29,
,,,,,,,,7,7,8,8,,,71,
,,,,,,,5,11,16,39,39,,,610,
,,,,,,,1,14,15,6,6,,,96,
,,,,,,,,6,6,25,25,,,645,
,,,,,,,,,,,,,,57,
,,,,,,,,21,21,22,22,,,870,
,,,,,,,,9,9,24,24,,,262,
,,,,,,,7,168,175,244,244,,,"4,913",
,,,,,,,1,14,15,35,35,,,930,
,,,,,,,1,55,56,37,37,,,252,
,,,,,,,,,,,,,,3,
,,,,,,,6,44,50,17,17,,,260,
,,,,,,,,19,19,27,27,,,122,
,,,,,,,15,34,49,18,18,,,67,
,,,,,,,23,166,189,134,134,,,"1,634",
,,,,,,,,7,7,,,,,"1,531",
,,,,,,,,8,8,14,14,,,22,
,,,,,,,1,3,4,,,,,4,
,,,,,,,,1,1,,,,,1,
,,,,,,,,13,13,11,11,,,24,
,,,,,,,1,8,9,5,5,,,14,
,,,,,,,2,40,42,30,30,436,436,"1,596",
,,,,,,,,,,,,,,"3,125",
,,,,,,,,,,,,,,"3,125",
,,,,,,,3,,3,,,,,3,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,6,,6,,,,,6,
,,,,,,,9,1,10,,,,,12,
,,,,,,,202,"2,557","2,759","1,270","1,270",436,436,"31,602",
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,,,,
