Texas A&M University,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,
Residency Status by Tuition Status by College,,,,,,,,,
Spring 2009,,,,,,,,,
Enrollment Profile – Spring 2009,,,,,,,,,
Official Certified 12th Class Day Data,,,,,,,,,
"Spring 2009
Agriculture         Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Architecture        Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Business              Texas Resident
Admin                 Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Education            Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Engineering        Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
G. Bush               Texas Resident
School of            Non-TX, US Resident
Subtotal Geosciences        Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Liberal Arts         Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Science                Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Veterinary           Texas Resident
Medicine             Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
General               Texas Resident
Studies                Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Other -                 Texas Resident
Special                Non-TX, US Resident
Subtotal
Total                    Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Grand Total",Resident Tuition,,Non-Resident Tuition,,Tuition Exemption/Waiver,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,
,"5,424",-2.1%,10,66.7%,63,-7.4%,"5,497",-2.1%,
,,,99,-2.0%,306,8.9%,405,6.0%,
,6,-33.3%,87,38.1%,336,28.2%,429,28.4%,
,"5,430",-2.2%,196,15.3%,705,15.4%,"6,331",0.0%,
,"1,492",0.3%,,,23,-8.0%,"1,515",0.1%,
,,,24,-4.0%,58,16.0%,82,9.3%,
,2,0.0%,103,102.0%,146,-8.8%,251,17.8%,
,"1,494",0.3%,127,67.1%,227,-3.4%,"1,848",2.6%,
,"4,517",2.8%,2,0.0%,39,-11.4%,"4,558",2.7%,
,,,38,15.2%,85,10.4%,123,11.8%,
,9,-18.2%,28,-20.0%,118,-2.5%,155,-7.2%,
,"4,526",2.7%,68,-2.9%,242,0.0%,"4,836",2.5%,
,"4,794",-1.7%,2,-33.3%,48,-5.9%,"4,844",-1.8%,
,,,57,9.6%,108,4.9%,165,6.5%,
,2,-50.0%,46,0.0%,96,10.3%,144,5.1%,
,"4,796",-1.7%,105,4.0%,252,4.6%,"5,153",-1.3%,
,"6,870",4.6%,14,-26.3%,143,18.2%,"7,027",4.7%,
,,,119,-11.9%,390,1.6%,509,-1.9%,
,36,28.6%,638,9.1%,"1,300",14.1%,"1,974",12.7%,
,"6,906",4.7%,771,4.3%,"1,833",11.5%,"9,510",5.9%,
,193,6.6%,2,100.0%,13,-23.5%,208,4.5%,
,,,13,225.0%,59,37.2%,72,53.2%,
,0,-100.0%,,,23,27.8%,23,21.1%,
,193,6.0%,15,200.0%,95,21.8%,303,14.3%,
,602,14.4%,2,0.0%,8,0.0%,612,14.2%,
,,,15,-6.3%,77,13.2%,92,9.5%,
,1,0.0%,36,80.0%,102,5.2%,139,17.8%,
,603,14.4%,53,39.5%,187,8.1%,843,14.2%,
,"5,917",2.0%,9,-30.8%,61,13.0%,"5,987",2.1%,
,,,116,-14.1%,327,-3.3%,443,-6.3%,
,1,100.0%,84,23.5%,121,-4.7%,206,5.6%,
,"5,918",2.1%,209,-3.2%,509,-1.9%,"6,636",1.6%,
,"2,103",0.9%,2,-75.0%,45,-8.2%,"2,150",0.4%,
,,,33,-13.2%,192,-2.0%,225,-3.8%,
,4,-42.9%,32,33.3%,337,6.3%,373,7.2%,
,"2,107",0.8%,67,-4.3%,574,2.1%,"2,748",0.9%,
,"2,010",-3.4%,1,-50.0%,27,35.0%,"2,038",-3.0%,
,,,28,-12.5%,66,6.5%,94,0.0%,
,1,-50.0%,10,150.0%,40,37.9%,51,45.7%,
,"2,011",-3.4%,39,2.6%,133,19.8%,"2,183",-2.2%,
,"4,052",11.8%,5,-28.6%,40,37.9%,"4,097",12.0%,
,,,75,-1.3%,45,7.1%,120,1.7%,
,4,33.3%,35,105.9%,7,0.0%,46,70.4%,
,"4,056",11.9%,115,15.0%,92,17.9%,"4,263",12.1%,
,16,-88.6%,0,-100.0%,0,-100.0%,16,-89.0%,
,,,0,-100.0%,1,-96.8%,1,-97.4%,
,,,47,-42.7%,2,-98.5%,49,-77.5%,
,16,-88.6%,47,-48.4%,3,-98.3%,66,-83.6%,
,"37,990",1.8%,49,-23.4%,510,3.9%,"38,549",1.8%,
,,,617,-5.8%,"1,714",2.3%,"2,331",0.0%,
,66,-2.9%,"1,146",15.2%,"2,628",5.1%,"3,840",7.8%,
,"38,056",1.8%,"1,812",5.7%,"4,852",4.0%,"44,720",2.2%,
"Prepared by OISP, 01 Apr 09",,,,,,,,,
