Texas A&M University,,,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,,,
Demographic Summary by Entry Status,,,,,,,,,,,
Spring 2009,,,,,,,,,,,
Enrollment Profile – Spring 2009,,,,,,,,,,,
Official Certified 12th Class Day Data,,,,,,,,,,,
"Spring 2009
Head Count       Total
Gender              Female Male
Ethnicity           White Black Hispanic Asian
American Indian International Unknown/Other
TAMU Age       <18
Categories         18-21
22-25
26-30
31-39
40+
College              Agriculture Architecture Business Admin Education Engineering
G. Bush School of Govt Geosciences
Liberal Arts Science
Veterinary Medicine General Studies
Other - Special Populations
Student              Lower
Level                 Upper Masters PhD Professional
Tuition              Resident Tuition
Status                Non-Resident Tuition Tuition Exemption/Waiver
Residency         Texas Resident
Status                Non-TX, US Resident
Non-TX, Non-US Resident
SCH                  < 6 SCH
Categories         6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:                 Less Than Half Time
TAMU              Half-Time
Status                Three-Quarter Time Full-Time",Undergraduate,,,,,Graduate,,,,Professional,
,"1st Time in College
74
36
38
38
2
13
4
2
14
1
66
7
1
2
4
8
4
20
2
12
4
7
11
74
57
15
2
57
2
15
1
3
42
28
1
3
70","1st Time PB
20
9
11
14
2
2
1
1
11
4
4
1
11
2
4
2
1
20
18
2
19
1
2
2
4
6
6
1
2
4
13","1st Time Transfer
712
335
377
539
8
99
26
5
32
3
464
182
46
15
5
219
19
95
101
27
154
32
1
64
469
243
666
32
14
669
11
32
10
31
34
420
211
6
10
31
34
637","Readmitted
245
87
158
184
9
38
5
4
4
1
61
131
41
6
6
72
7
9
11
37
5
58
5
3
38
70
175
232
9
4
238
3
4
15
22
21
128
53
6
15
22
21
187","Continuing
34,614
16,640
17,974
26,362
1,105
4,731
1,601
203
523
89
4
20,695
13,046
606
181
82
4,812
1,354
4,035
3,710
6,883
501
5,642
1,951
1,534
4,150
42
13,703
20,911
32,597
799
1,218
32,959
1,119
536
998
1,141
1,665
16,779
12,913
1,118
917
815
1,559
31,323",1st Time PB,1st Time Graduate,Readmitted,Continuing,Continuing,
,,,,,,91,556,18,"7,889",501,
,,,,,,42,274,5,"3,234",377,
,,,,,,49,282,13,"4,655",124,
,,,,,,61,337,12,"3,619",436,
,,,,,,7,17,,297,1,
,,,,,,9,38,2,578,38,
,,,,,,4,21,1,206,18,
,,,,,,1,2,,26,2,
,,,,,,6,139,3,"3,087",,
,,,,,,3,2,,76,6,
,,,,,,,10,,5,2,
,,,,,,34,272,2,"2,489",242,
,,,,,,29,166,2,"2,744",220,
,,,,,,13,69,10,"1,860",31,
,,,,,,15,39,4,791,6,
,,,,,,8,81,2,"1,124",,
,,,,,,4,12,1,447,,
,,,,,,,115,1,668,,
,,,,,,11,113,8,"1,199",,
,,,,,,5,150,5,"2,305",,
,,,,,,36,10,,257,,
,,,,,,3,24,,279,,
,,,,,,5,11,1,752,,
,,,,,,11,32,,713,,
,,,,,,,8,,129,501,
,,,,,,8,,,16,,
,,,,,,91,462,9,"4,716",,
,,,,,,,94,9,"3,173",,
,,,,,,,,,,501,
,,,,,,78,381,12,"3,550",465,
,,,,,,7,51,5,883,9,
,,,,,,6,124,1,"3,456",27,
,,,,,,81,381,14,"3,662",469,
,,,,,,4,35,1,"1,124",32,
,,,,,,6,140,3,"3,103",,
,,,,,,50,52,12,"1,325",,
,,,,,,17,59,3,728,,
,,,,,,20,339,2,"4,977",,
,,,,,,3,85,,662,,
,,,,,,1,17,1,104,,
,,,,,,,4,,93,501,
,,,,,,48,38,10,"1,041",,
,,,,,,19,71,5,933,,
,,,,,,24,447,3,"5,915",501,
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,
