"Spring 2009
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies        GEST
Subtotal
Other - Special         CLMD Populations              MARB MARS
SABX SRPH
Subtotal
Total",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
170
73
237
289
74
843
221
534
1,045
485
717
39
139
729
117
877
81
1,214
438
6,636
1,498
459
5
403
244
139
2,748
2,060
45
4
8
42
24
2,183
4,263
4,263
8
2
1
44
11
66
44,720",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,50,68,,1,10,13,,,,1,8,16,,3,68,102,,
,23,33,,,6,6,,4,,,,1,,,29,44,,
,59,117,2,2,7,11,3,4,,1,9,21,,1,80,157,,
,64,140,3,1,5,13,,3,1,1,26,32,,,99,190,,
,28,17,,,1,2,,1,,,12,13,,,41,33,,
,224,375,5,4,29,45,3,12,1,3,55,83,,4,317,526,,
,110,64,1,1,14,6,3,4,1,1,4,8,2,2,135,86,,
,242,139,10,5,78,31,12,2,6,,3,3,2,1,353,181,,
,658,205,20,9,85,25,6,8,9,,7,8,5,,790,255,,
,50,252,2,2,9,29,10,29,,1,34,66,,1,105,380,,
,429,124,19,8,64,18,13,9,3,2,16,12,,,544,173,,
,17,12,,,1,4,1,1,1,,1,,1,,22,17,,
,55,16,1,1,33,26,1,,,,1,5,,,91,48,,
,212,398,3,8,27,62,3,5,2,2,1,2,,4,248,481,,
,25,71,1,,2,12,,1,,1,,,2,2,30,87,,
,250,395,32,15,65,70,15,14,4,1,5,6,2,3,373,504,,
,34,23,2,2,8,11,1,,,,,,,,45,36,,
,635,235,48,9,155,54,41,14,7,1,6,2,4,3,896,318,,
,191,71,32,14,65,25,13,4,2,3,10,3,2,3,315,123,,
,"2,908","2,005",171,74,606,373,119,91,35,12,88,115,20,19,"3,947","2,689",,
,539,391,33,17,151,96,114,98,5,4,34,14,1,1,877,621,,
,107,145,6,7,22,23,16,14,1,2,34,79,1,2,187,272,,
,2,1,1,1,,,,,,,,,,,3,2,,
,122,138,2,4,21,26,8,8,,1,21,52,,,174,229,,
,17,105,2,2,3,23,2,13,2,1,9,64,,1,35,209,,
,22,45,1,1,1,4,1,4,,,33,27,,,58,81,,
,809,825,45,32,198,172,141,137,8,8,131,236,2,4,"1,334","1,414",,
,"1,070",461,29,14,212,102,93,56,5,3,3,5,7,,"1,419",641,,
,17,5,,1,,,1,,,,14,6,1,,33,12,,
,3,1,,,,,,,,,,,,,3,1,,
,1,,,,,1,,,,,3,3,,,4,4,,
,19,5,2,,1,2,2,,,,5,5,1,,30,12,,
,7,7,,1,,,,1,1,,5,2,,,13,11,,
,"1,117",479,31,16,213,105,96,57,6,3,30,21,9,,"1,502",681,,
,"1,461","1,664",96,108,293,359,82,120,12,16,8,37,4,3,"1,956","2,307",,
,"1,461","1,664",96,108,293,359,82,120,12,16,8,37,4,3,"1,956","2,307",,
,2,1,,,,,,,,,1,3,1,,4,4,,
,1,,,,,1,,,,,,,,,1,1,,
,1,,,,,,,,,,,,,,1,,,
,,1,,,,,,,,,21,21,1,,22,22,,
,2,4,1,,1,,1,,,,1,,1,,7,4,,
,6,6,1,,1,1,1,,,,23,24,3,,35,31,,
,"15,257","16,345",784,662,"2,752","2,796",843,"1,045",128,117,"1,196","2,613",79,103,"21,039","23,681",,
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,,,,,,,
