Spring 2009,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
G. Bush,BUSH,,,0,-100.0%,,,,,0,-100.0%,
"School of
Govt",CAIA CHLS,,,"68
26","-8.1%
-18.8%",,,,,"68
26","-8.1%
-18.8%",
,CNPM,,,23,360.0%,,,,,23,360.0%,
,INTA,,,96,17.1%,,,,,96,17.1%,
,PSAA,,,90,100.0%,,,,,90,100.0%,
,Subtotal,,,303,14.3%,,,,,303,14.3%,
Geosciences,ATMO,72,50.0%,21,-25.0%,27,8.0%,,,48,-9.4%,
,ENGS,,,,,,,,,72,50.0%,
,ENST,51,54.5%,,,,,,,51,54.5%,
,ESCI,0,-100.0%,,,,,,,0,-100.0%,
,GEOG,94,-6.0%,26,36.8%,31,-6.1%,,,151,-0.7%,
,GEOL,149,14.6%,54,45.9%,19,0.0%,,,222,19.4%,
,GEOP,40,42.9%,11,-21.4%,10,-16.7%,,,61,13.0%,
,GEOS,,,2,-33.3%,,,,,2,-33.3%,
,METR,122,-8.3%,,,,,,,122,-8.3%,
,OCNG,,,36,20.0%,38,0.0%,,,74,8.8%,
,SPSG,9,28.6%,,,,,,,9,28.6%,
,WMHS,,,22,100.0%,9,100.0%,,,31,100.0%,
,Subtotal,537,11.9%,172,31.3%,134,5.5%,,,843,14.2%,
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,
