Spring 2009,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Liberal Arts      AMST
ANTH ANTL CLSS COML COMM ECON ENGL FREN GERM HISP HIST INTS MODL MUSC NUTR PHIL POLS PSYC RUSS SOCI SPAN TCMS THAR USLA",,"10
116
1
14
859
370
604
14
3
662
522
29
89
824
1,137
8
340
98
114
52
1","-33.3%
-10.8%
100.0%
133.3%
5.5%
-14.5%
-4.4%
-26.3%
-25.0%
-1.6%
15.5%
20.8%
4.7%
1.7%
8.3%
33.3%
1.2%
14.0%
-23.0%
6.1%
100.0%","60
1
23
60
32
7
23
12
2
20
10
31
29","-1.6%
-75.0%
15.0%
7.1%
-17.9%
0.0%
9.5%
71.4%
100.0%
0.0%
-37.5%
3.3%
-14.7%","44
49
55
81
22
44
1
8
43
46
66","-6.4%
-5.8%
0.0%
-1.2%
15.8%
2.3%
100.0%
60.0%
-2.3%
-6.1%
29.4%",,,"10
220
1
14
1
931
485
717
14
3
29
729
522
12
29
3
117
877
1,214
8
435
98
114
52
1","-33.3%
-7.6%
100.0%
133.3%
-75.0%
5.1%
-10.8%
-4.8%
-26.3%
-25.0%
11.5%
-1.1%
15.5%
71.4%
20.8%
100.0%
6.4%
0.8%
7.5%
33.3%
3.3%
14.0%
-23.0%
6.1%
100.0%",
,Subtotal,"5,867",1.6%,310,-1.6%,459,2.7%,,,"6,636",1.6%,
Science,APHY,82,6.5%,2,100.0%,8,0.0%,,,10,11.1%,
,APMS,,,,,,,,,82,6.5%,
,BIOL,"1,152",-0.8%,19,0.0%,25,-7.4%,,,"1,196",-0.9%,
,BMCB,89,-4.3%,,,,,,,89,-4.3%,
,BOTN,,,,,4,0.0%,,,4,0.0%,
,CHEM,215,-13.0%,130,0.8%,114,4.6%,,,459,-5.4%,
,GENE,,,,,9,100.0%,,,9,100.0%,
,MATH,181,1.7%,77,40.0%,63,3.3%,,,321,9.2%,
,MBIO,62,-17.3%,7,133.3%,8,-27.3%,,,77,-13.5%,
,MEPS,,,,,4,100.0%,,,4,100.0%,
,MSEN,,,,,3,100.0%,,,3,100.0%,
,PHYS,107,2.9%,48,-2.0%,76,-3.8%,,,231,-0.4%,
,STAT,,,83,12.2%,56,19.1%,,,139,14.9%,
,USSC,5,400.0%,,,,,,,5,400.0%,
,ZOOL,99,12.5%,5,-44.4%,15,7.1%,,,119,7.2%,
,Subtotal,"1,992",-1.6%,371,9.4%,385,6.9%,,,"2,748",0.9%,
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,
