"Spring 2009
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal Other - Special        CLMD Populations             MARB
MARS SABX SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
1
1
1
5
3
1
4
11
11
30","Sophomore
3
2
1
1
4
1
12
2
2
17
17
57","Junior
1
1
5
1
1
1
2
3
1
14
5
5
1
1
66","Senior
1
1
1
2
2
2
3
1
11
1
1
2
3
3
61",PB,"Total
1
1
2
1
6
9
1
4
1
4
5
8
3
42
9
1
1
11
6
6
28
28
214",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,1,1,2,2,1,
,,,,,,,1,,1,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,1,,,,,1,
,,,,,,,,,,,,,,2,
,,,,,,,,1,1,1,1,,,4,
,,,,,,,,1,1,,,,,2,
,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,9,
,,,,,,,,,,,,,,1,
,,,,,,,,,,1,1,,,5,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,4,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,8,
,,,,,,,,,,2,2,,,5,
,,,,,,,,1,1,4,4,,,47,
,,,,,,,,,,,,,,9,
,,,,,,,,1,1,2,2,,,3,
,,,,,,,,,,,,,,1,
,,,,,,,,,,2,2,,,3,
,,,,,,,,1,1,4,4,,,16,
,,,,,,,,,,,,,,8,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,1,1,2,2,9,
,,,,,,,,,,,,,,28,
,,,,,,,,,,,,,,28,
,,,,,,,1,9,10,19,19,2,2,245,
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,,,,
