Top 10,,,,,,,,,
Spring 2009  Feeder Patterns First Time In College,,,,,,,,,
Texas County   Students  % Total,,,,,,,,,
Harris,,,11,,14.9%,,,,
Brazos,,,5,,6.8%,,,,
Tarrant,,,4,,5.4%,,,,
Bexar,,,3,,4.1%,,,,
Bell,,,3,,4.1%,,,,
Denton,,,3,,4.1%,,,,
Travis,,,3,,4.1%,,,,
Collin,,,2,,2.7%,,,,
Fort Bend,,,2,,2.7%,,,,
Galveston,,,2,,2.7%,,,,
State,Students  % Total,,,,,,,,
Texas,57,,,77.0%,,,,,
Wyoming,2,,,2.7%,,,,,
Country,,Students  % Total,,,,,,,
United States,,59,,,,79.7%,,,
Equatorial Guinea,,3,,,,4.1%,,,
Iraq,,2,,,,2.7%,,,
Panama,,2,,,,2.7%,,,
South Africa,,1,,,,1.4%,,,
Russia,,1,,,,1.4%,,,
Paraguay,,1,,,,1.4%,,,
Nigeria,,1,,,,1.4%,,,
Mexico,,1,,,,1.4%,,,
India,,1,,,,1.4%,,,
