Top 10,,,,,,,,
Spring 2009  Feeder Patterns New Graduate,,,,,,,,
Country,,,Students  % Total,,,,,
United States,,,414,,,74.5%,,
India,,,36,,,6.5%,,
"China, People's Rep of",,,30,,,5.4%,,
Iran,,,13,,,2.3%,,
Taiwan,,,12,,,2.2%,,
"Korea, Republic of",,,8,,,1.4%,,
Nigeria,,,5,,,0.9%,,
Germany,,,3,,,0.5%,,
Sri Lanka (Ceylon),,,3,,,0.5%,,
Colombia,,,2,,,0.4%,,
Texas County   Students  % Total,,,,,,,,
Brazos,,78,,,14.0%,,,
Harris,,65,,,11.7%,,,
Tarrant,,19,,,3.4%,,,
Fort Bend,,16,,,2.9%,,,
Bexar,,15,,,2.7%,,,
Travis,,15,,,2.7%,,,
Montgomery,,13,,,2.3%,,,
Dallas,,12,,,2.2%,,,
Denton,,10,,,1.8%,,,
Williamson,,8,,,1.4%,,,
State,Students  % Total,,,,,,,
Texas,381,,,68.5%,,,,
California,5,,,0.9%,,,,
New York,4,,,0.7%,,,,
Maryland,3,,,0.5%,,,,
Georgia,2,,,0.4%,,,,
Louisiana,2,,,0.4%,,,,
Oklahoma,2,,,0.4%,,,,
Oregon,2,,,0.4%,,,,
South Carolina,2,,,0.4%,,,,
Montana,1,,,0.2%,,,,
