Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Afghanistan,1,2,,,3,
Albania,,,1,,1,
Angola,10,,,,10,
Antigua and Barbuda,,,1,,1,
Argentina,1,3,,,4,
Armenia,,1,2,,3,
Australia,6,,,,6,
Austria,2,,1,,3,
Azerbaijan,,3,,,3,
"Bahamas, The",,1,,,1,
Bahrain,3,1,1,,5,
Bangladesh,2,11,7,,20,
Barbados,1,1,1,,3,
Belarus,,,1,,1,
Belgium,2,1,,,3,
Belize (British Honduras),1,1,,,2,
Bhutan,,2,,,2,
Bolivia,7,2,3,,12,
Botswana,,,1,,1,
Brazil,9,13,12,,34,
Bulgaria,1,,3,,4,
Cambodia (Kampuchea),,,1,,1,
Cameroon,5,1,4,,10,
Canada,23,7,15,,45,
Cayman Islands,1,,,,1,
Chile,,2,6,,8,
"China, People's Rep of",30,382,344,,756,
Colombia,3,24,28,,55,
Costa Rica,3,3,,,6,
Cote d'Ivoire (Ivory Coast),3,,,,3,
Croatia,1,,,,1,
Cyprus,1,,1,,2,
Czech Republic,,1,,,1,
Dem Republic of Congo (Ziare),,,1,,1,
Dominica,,,1,,1,
Dominican Republic,,1,1,,2,
Ecuador,2,7,7,,16,
Egypt (A.R.E.),2,4,17,,23,
El Salvador,11,,2,,13,
Equatorial Guinea,8,,,,8,
Eritrea,1,,,,1,
Estonia,1,,,,1,
Ethiopia,2,,4,,6,
France,15,14,6,,35,
Gabon Republic,2,,,,2,
