Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Georgia (C.I.S.),,1,,,1,
Germany,7,14,9,,30,
Ghana,,8,,,8,
Greece,2,3,1,,6,
Grenada,1,,,,1,
Guatemala,5,4,6,,15,
Honduras,9,2,,,11,
Hong Kong,7,2,1,,10,
Hungary,1,,,,1,
Iceland,,1,,,1,
India,66,710,205,,981,
Indonesia,13,29,8,,50,
Iran,1,34,39,,74,
Iraq,5,1,1,,7,
Ireland,,,1,,1,
Israel,1,,,,1,
Italy,3,7,2,,12,
Jamaica,2,4,3,,9,
Japan,4,8,17,,29,
Jordan,2,7,2,,11,
Kazakhstan,37,8,1,,46,
Kenya,,8,1,,9,
"Korea, Republic of",23,153,294,,470,
Kuwait,1,,2,,3,
Latvia,2,,,,2,
Lebanon,1,5,6,,12,
Macao,1,1,,,2,
Macedonia,,,2,,2,
Malaysia,25,5,5,,35,
Mauritius,,1,1,,2,
Mexico,36,33,51,,120,
Mongolia,1,1,1,,3,
Morocco,1,,1,,2,
Nepal,22,9,6,,37,
Netherlands,1,1,1,,3,
New Zealand,2,4,,,6,
Nicaragua,4,,,,4,
Nigeria,12,22,9,,43,
Norway,7,2,1,,10,
Oman,,1,2,,3,
Other Foreign or US,1,,,,1,
Pakistan,8,15,7,,30,
Panama,9,7,2,,18,
Paraguay,1,1,1,,3,
Peru,1,3,12,,16,
Page 75,,,,,,
