Spring 2009,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Other -               AGBU
Special               BIOT
Populations       ENSM
FSTC GACD GENE MARB MARM MDSC MEPS MSEN NUTR PHLT REEP TOXI WMHS",,"0
0
0
0
0
1
1
3
0
0
0
6
1
0
0","-100.0%
-100.0%
-100.0%
-100.0%
-100.0%
-50.0%
0.0%
200.0%
-100.0%
-100.0%
-100.0%
-57.1%
0.0%
-100.0%
-100.0%","0
0
0
1
0","-100.0%
-100.0%
-100.0%
-50.0%
-100.0%","0
0
0
0
0
1
0
0
1
0
0
0","-100.0%
-100.0%
-100.0%
-100.0%
-100.0%
100.0%
-100.0%
-100.0%
0.0%
-100.0%
-100.0%
-100.0%","0
0
0
0
0
1
0
0
0","-100.0%
-100.0%
-100.0%
-100.0%
-100.0%
0.0%
-100.0%
-100.0%
-100.0%",,,"0
0
0
0
0
4
0
0
0
1
42
0
0","-100.0%
-100.0%
-100.0%
-100.0%
-100.0%
-60.0%
-100.0%
-100.0%
-100.0%
-66.7%
-16.0%
-100.0%
-100.0%","1
0
1
1
0","-50.0%
-100.0%
100.0%
0.0%
-100.0%","0
0
0
0
0
0
2
1
8
0
0
0
11
44
0
0","-100.0%
-100.0%
-100.0%
-100.0%
-100.0%
-100.0%
0.0%
0.0%
-42.9%
-100.0%
-100.0%
-100.0%
-47.6%
-18.5%
-100.0%
-100.0%",
,Subtotal,12,-91.9%,1,-88.9%,2,-87.5%,1,-90.0%,,,47,-78.0%,3,-40.0%,66,-83.6%,
Total,,"31,602",-0.3%,"1,446",8.0%,"5,548",11.0%,"1,888",6.1%,245,4.3%,"3,809",7.8%,182,13.0%,"44,720",2.2%,
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
