Top 10,,,,,,,,,
Spring 2009  Feeder Patterns Texas A&M University Campus,,,,,,,,,
State,Students  % Total,,,,,,,,
Texas,38549,,,86.2%,,,,,
California,220,,,0.5%,,,,,
Louisiana,179,,,0.4%,,,,,
Florida,117,,,0.3%,,,,,
Oklahoma,101,,,0.2%,,,,,
Colorado,91,,,0.2%,,,,,
Virginia,86,,,0.2%,,,,,
New Mexico,85,,,0.2%,,,,,
Illinois,84,,,0.2%,,,,,
New York,77,,,0.2%,,,,,
Country,,,Students  % Total,,,,,,
United States,,,40857,,,,91.4%,,
India,,,981,,,,2.2%,,
"China, People's Rep of",,,756,,,,1.7%,,
"Korea, Republic of",,,470,,,,1.1%,,
Taiwan,,,214,,,,0.5%,,
Mexico,,,120,,,,0.3%,,
Iran,,,74,,,,0.2%,,
Turkey,,,74,,,,0.2%,,
Saudi Arabia,,,56,,,,0.1%,,
Colombia,,,55,,,,0.1%,,
Texas County   Students  % Total,,,,,,,,,
Harris,,7254,,,16.2%,,,,
Brazos,,2792,,,6.2%,,,,
Dallas,,2293,,,5.1%,,,,
Tarrant,,2223,,,5.0%,,,,
Bexar,,2148,,,4.8%,,,,
Fort Bend,,1804,,,4.0%,,,,
Montgomery,,1354,,,3.0%,,,,
Travis,,1277,,,2.9%,,,,
Collin,,1246,,,2.8%,,,,
Denton,,847,,,1.9%,,,,
