"Spring 2009
Architecture        ARCH COMG COSC COSL ENDL ENDS LAND LANL LDEV URPL URSC USAR VIZA
Subtotal
Business              ACCT
Admin                 AGBU BHNR BUAD BUAG EMBA FINC INFO MGMT MISY MKTG MLER USBU
Subtotal",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
150
107
365
252
245
275
111
64
32
40
95
49
63
1848
766
8
32
1632
8
92
919
212
379
113
529
54
92
4836",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,32,39,2,,1,5,4,3,1,,28,34,1,,69,81,,
,5,13,,,1,,,1,,,25,62,,,31,76,,
,37,280,1,1,1,33,1,5,1,2,1,,,2,42,323,,
,25,180,2,2,11,21,1,4,,4,,2,,,39,213,,
,85,92,,6,20,27,3,2,1,,4,4,1,,114,131,,
,104,104,4,1,15,29,6,5,1,,3,2,1,,134,141,,
,26,54,,1,5,8,2,1,,,11,2,,1,44,67,,
,18,29,,,5,10,2,,,,,,,,25,39,,
,,13,,,,3,,1,,,2,13,,,2,30,,
,10,10,,,,2,,,,,11,7,,,21,19,,
,17,32,1,2,6,3,1,1,,1,11,20,,,36,59,,
,10,23,1,1,3,6,1,2,,2,,,,,15,34,,
,10,32,,,1,5,1,4,,,4,5,,1,16,47,,
,379,901,11,14,69,152,22,29,4,9,100,151,3,4,588,"1,260",,
,315,281,15,4,35,39,31,26,3,1,8,6,1,1,408,358,,
,1,5,,,,1,,,,,1,,,,2,6,,
,14,17,,,,1,,,,,,,,,14,18,,
,669,583,41,20,118,72,36,45,5,3,9,23,,8,878,754,,
,3,3,,,1,1,,,,,,,,,4,4,,
,9,51,3,3,1,9,,6,,,2,6,,2,15,77,,
,305,450,8,8,30,48,19,25,2,4,8,8,2,2,374,545,,
,47,105,3,3,9,20,5,12,,,,6,1,1,65,147,,
,149,139,6,9,23,21,11,3,,3,8,7,,,197,182,,
,34,25,1,,4,3,,1,,,13,32,,,52,61,,
,342,101,5,4,36,11,8,6,3,,7,6,,,401,128,,
,13,37,1,,,,1,,1,,,1,,,16,38,,
,27,49,1,2,3,5,1,2,,,1,1,,,33,59,,
,"1,928","1,846",84,53,260,231,112,126,14,11,57,96,4,14,"2,459","2,377",,
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,,,,,,,
